
exp. coeff.   exp. coeff. (normalized)  width
{    0.745495 ,     0.555763 ,    24.070700}
{    1.255326 ,     0.935840 ,    11.482651}
{    1.110553 ,     0.827912 ,     4.972172}
{    0.797241 ,     0.594339 ,     1.434462}
{    0.368311 ,     0.274574 ,     0.340867}
{    0.068999 ,     0.051438 ,     0.138546}
{    0.108504 ,     0.080889 ,     0.050223}

exp. coeff.   exp. coeff. (normalized)  width
{    1.996946 ,     3.987794 ,    14.382835}
{    1.284650 ,     2.565377 ,     3.847489}
{    0.579957 ,     1.158144 ,     1.054039}
{    0.878579 ,     1.754474 ,     0.280288}
{   -0.776416 ,    -1.550461 ,     0.231801}
{    0.333574 ,     0.666130 ,     0.138695}
{    0.047316 ,     0.094487 ,     0.027049}

exp. coeff.   exp. coeff. (normalized)  width
{    1.727483 ,     2.984197 ,    17.244619}
{    1.535938 ,     2.653306 ,     4.686066}
{    0.657927 ,     1.136559 ,     1.120072}
{    0.318502 ,     0.550207 ,     0.324086}
{    0.136119 ,     0.235144 ,     0.083962}
{    0.031044 ,     0.053628 ,     0.025720}
{    0.000990 ,     0.001710 ,     0.003991}

exp. coeff.   exp. coeff. (normalized)  width
{    0.870540 ,     0.757839 ,    22.803049}
{    1.610520 ,     1.402022 ,     9.473999}
{    1.066783 ,     0.928677 ,     2.809708}
{    0.544507 ,     0.474015 ,     0.698115}
{    0.240623 ,     0.209472 ,     0.176658}
{    0.078653 ,     0.068470 ,     0.041200}
{    0.002733 ,     0.002379 ,     0.006131}
