exp. coeff.   exp. coeff. (normalized)  width
{    1.265075 ,     1.600414 ,     7.020597}
{    0.957846 ,     1.211747 ,     1.987800}
{    0.460448 ,     0.582501 ,     0.483953}
{    0.179418 ,     0.226977 ,     0.124917}
{    0.056345 ,     0.071281 ,     0.037967}
{    0.006063 ,     0.007670 ,     0.009339}
{   -0.000449 ,    -0.000568 ,     0.003251}

exp. coeff.   exp. coeff. (normalized)  width
{    0.647396 ,     0.419122 ,    10.057062}
{    1.086281 ,     0.703254 ,     4.066154}
{    0.576208 ,     0.373035 ,     1.350400}
{    0.235574 ,     0.152510 ,     0.626056}
{    0.264495 ,     0.171233 ,     0.257826}
{    0.126755 ,     0.082061 ,     0.069828}
{    0.017375 ,     0.011248 ,     0.015524}

exp. coeff.   exp. coeff. (normalized)  width
{    0.470297 ,     0.221179 ,    10.672514}
{    1.131820 ,     0.532291 ,     4.827364}
{    0.765925 ,     0.360212 ,     1.435623}
{    0.395146 ,     0.185836 ,     0.370032}
{    0.161218 ,     0.075820 ,     0.084808}
{    0.028619 ,     0.013460 ,     0.015883}
{   -0.005451 ,    -0.002564 ,     0.009518}
