# Energy CrossSection
1.970000000000000084e-01 4.591244566096446711e+00
1.980000000000000093e-01 4.296241091414140456e+00
1.990000000000000102e-01 4.093077864728643434e+00
2.000000000000000111e-01 3.931007112000000081e+00
2.010000000000000120e-01 3.793832452781094489e+00
2.020000000000000129e-01 3.673853962222771941e+00
2.030000000000000138e-01 3.566679386251230710e+00
2.039999999999999869e-01 3.469529448044117892e+00
2.049999999999999878e-01 3.380502297678048773e+00
2.059999999999999887e-01 3.298240380582524445e+00
2.069999999999999896e-01 3.221703976932367652e+00
2.079999999999999905e-01 3.150114772504807981e+00
2.089999999999999913e-01 3.082851924636363705e+00
2.099999999999999922e-01 3.019402756876190530e+00
2.109999999999999931e-01 2.959347685383886706e+00
2.119999999999999940e-01 2.902354000471699003e+00
2.129999999999999949e-01 2.848119160230047076e+00
2.139999999999999958e-01 2.796397713663551166e+00
2.149999999999999967e-01 2.746976441976744177e+00
2.159999999999999976e-01 2.699658310782406812e+00
2.169999999999999984e-01 2.654289476294930505e+00
2.179999999999999993e-01 2.610722319926605195e+00
2.190000000000000002e-01 2.568828778086757580e+00
2.200000000000000011e-01 2.528492525254545154e+00
2.210000000000000020e-01 2.489608357687782991e+00
2.220000000000000029e-01 2.452088270720720331e+00
2.230000000000000038e-01 2.415854027784753555e+00
2.240000000000000047e-01 2.380817125785714694e+00
2.250000000000000056e-01 2.346918024999999908e+00
2.260000000000000064e-01 2.314092802340707689e+00
2.270000000000000073e-01 2.282279692405285942e+00
2.280000000000000082e-01 2.251425272320175086e+00
2.290000000000000091e-01 2.221477860371179336e+00
2.300000000000000100e-01 2.192405963756521636e+00
2.310000000000000109e-01 2.164148434636363749e+00
2.320000000000000118e-01 2.136682502107758452e+00
2.330000000000000127e-01 2.109961968450643877e+00
2.340000000000000135e-01 2.083953999384615674e+00
2.349999999999999867e-01 2.058632654314893617e+00
2.359999999999999876e-01 2.033960993902542480e+00
2.369999999999999885e-01 2.009914821776371596e+00
2.379999999999999893e-01 1.986470622268907915e+00
2.389999999999999902e-01 1.963599803451882675e+00
2.399999999999999911e-01 1.941280272816666930e+00
2.409999999999999920e-01 1.919490543672199179e+00
2.419999999999999929e-01 1.898215315243801715e+00
2.429999999999999938e-01 1.877428563658436023e+00
2.439999999999999947e-01 1.857116015229508532e+00
2.449999999999999956e-01 1.837252805000000322e+00
2.459999999999999964e-01 1.817831050406504056e+00
2.469999999999999973e-01 1.798837646251012501e+00
2.479999999999999982e-01 1.780249096516129281e+00
2.489999999999999991e-01 1.762053167425703171e+00
2.500000000000000000e-01 1.744237924416000229e+00
2.510000000000000009e-01 1.726796968928286935e+00
2.520000000000000018e-01 1.709708410003968115e+00
2.530000000000000027e-01 1.692966440490118352e+00
2.540000000000000036e-01 1.676555096944882139e+00
2.550000000000000044e-01 1.660469019015686554e+00
2.560000000000000053e-01 1.644697886265624742e+00
2.570000000000000062e-01 1.629226584595330429e+00
2.580000000000000071e-01 1.614055374887596761e+00
2.590000000000000080e-01 1.599164602474903552e+00
2.600000000000000089e-01 1.584554844615384317e+00
2.610000000000000098e-01 1.570216825015325668e+00
2.620000000000000107e-01 1.556136604580152571e+00
2.630000000000000115e-01 1.542310259775665493e+00
2.640000000000000124e-01 1.528729129125000030e+00
2.650000000000000133e-01 1.515394310222641483e+00
2.660000000000000142e-01 1.502287839533834379e+00
2.670000000000000151e-01 1.489411070295879824e+00
2.680000000000000160e-01 1.476755912720149055e+00
2.690000000000000169e-01 1.464314454368029983e+00
2.700000000000000178e-01 1.452083593337036627e+00
2.710000000000000187e-01 1.440055673859778507e+00
2.720000000000000195e-01 1.428223205297794118e+00
2.730000000000000204e-01 1.416592525186813001e+00
2.740000000000000213e-01 1.405142631682481769e+00
2.750000000000000222e-01 1.393884516832726961e+00
2.760000000000000231e-01 1.382802043336956554e+00
2.770000000000000240e-01 1.371892784148014410e+00
2.780000000000000249e-01 1.361158779625899262e+00
2.790000000000000258e-01 1.350588809691755987e+00
2.800000000000000266e-01 1.340185021728571124e+00
2.810000000000000275e-01 1.329936449822063826e+00
2.819999999999999729e-01 1.319845341280142081e+00
2.829999999999999738e-01 1.309905276734982360e+00
2.839999999999999747e-01 1.300114246566901555e+00
2.849999999999999756e-01 1.290466018950877203e+00
2.859999999999999765e-01 1.280962952898601293e+00
2.869999999999999774e-01 1.271594717355400750e+00
2.879999999999999782e-01 1.262363755555555800e+00
2.889999999999999791e-01 1.253264119809688992e+00
2.899999999999999800e-01 1.244294122813793368e+00
2.909999999999999809e-01 1.235452104498282022e+00
2.919999999999999818e-01 1.226732332222602695e+00
2.929999999999999827e-01 1.218137341054607692e+00
2.939999999999999836e-01 1.209657435459183583e+00
2.949999999999999845e-01 1.201295220338983283e+00
2.959999999999999853e-01 1.193045209625000158e+00
2.969999999999999862e-01 1.184910011882154723e+00
2.979999999999999871e-01 1.176880252563758278e+00
2.989999999999999880e-01 1.168958603347826086e+00
2.999999999999999889e-01 1.161143741453333433e+00
3.009999999999999898e-01 1.153430449448505257e+00
3.019999999999999907e-01 1.145817503314569663e+00
3.029999999999999916e-01 1.138303697587458752e+00
3.039999999999999925e-01 1.130887845052631624e+00
3.049999999999999933e-01 1.123564937786885265e+00
3.059999999999999942e-01 1.116337700081699413e+00
3.069999999999999951e-01 1.109201195521172467e+00
3.079999999999999960e-01 1.102154361120129877e+00
3.089999999999999969e-01 1.095192384323624424e+00
3.099999999999999978e-01 1.088318034351613006e+00
3.109999999999999987e-01 1.081530294032154282e+00
3.119999999999999996e-01 1.074824449038461527e+00
3.130000000000000004e-01 1.068199563990415379e+00
3.140000000000000013e-01 1.061654716971337731e+00
3.150000000000000022e-01 1.055188999314285780e+00
3.160000000000000031e-01 1.048797871775316359e+00
3.170000000000000040e-01 1.042487755507886638e+00
3.180000000000000049e-01 1.036246899169811275e+00
3.190000000000000058e-01 1.030081731313479576e+00
3.200000000000000067e-01 1.023987827812499862e+00
3.210000000000000075e-01 1.017964402570093574e+00
3.220000000000000084e-01 1.012010680447204880e+00
3.230000000000000093e-01 1.006125897092879473e+00
3.240000000000000102e-01 1.000309298777777745e+00
3.250000000000000111e-01 9.945566435569230812e-01
3.260000000000000120e-01 9.888672445674846490e-01
3.270000000000000129e-01 9.832438923058103297e-01
3.280000000000000138e-01 9.776824201097559230e-01
3.290000000000000147e-01 9.721821690000000959e-01
3.300000000000000155e-01 9.667424888757574220e-01
3.310000000000000164e-01 9.613627383806645499e-01
3.320000000000000173e-01 9.560388908704818833e-01
3.330000000000000182e-01 9.507771243243241521e-01
3.340000000000000191e-01 9.455700492245509015e-01
3.350000000000000200e-01 9.404171004656716182e-01
3.360000000000000209e-01 9.353210571904760906e-01
3.370000000000000218e-01 9.302780041424333346e-01
3.380000000000000226e-01 9.252907074585799974e-01
3.390000000000000235e-01 9.203519992949851236e-01
3.400000000000000244e-01 9.154679553999999220e-01
3.410000000000000253e-01 9.106347448709676273e-01
3.420000000000000262e-01 9.058485976871344381e-01
3.430000000000000271e-01 9.011122868833817412e-01
3.439999999999999725e-01 8.964253102354652336e-01
3.449999999999999734e-01 8.917871719681158549e-01
3.459999999999999742e-01 8.871941800693642355e-01
3.469999999999999751e-01 8.826458898443806378e-01
3.479999999999999760e-01 8.781482162327588492e-01
3.489999999999999769e-01 8.736911565501432886e-01
3.499999999999999778e-01 8.692806244828572559e-01
3.509999999999999787e-01 8.649130205840455110e-01
3.519999999999999796e-01 8.605879276818181323e-01
3.529999999999999805e-01 8.563049337563738428e-01
3.539999999999999813e-01 8.520636318672315523e-01
3.549999999999999822e-01 8.478636200816901392e-01
3.559999999999999831e-01 8.437045014044944891e-01
3.569999999999999840e-01 8.395828166078430632e-01
3.579999999999999849e-01 8.355043243016759824e-01
3.589999999999999858e-01 8.314625192451254865e-01
3.599999999999999867e-01 8.274600903361111204e-01
3.609999999999999876e-01 8.234936432825484820e-01
3.619999999999999885e-01 8.195658524751382457e-01
3.629999999999999893e-01 8.156763530688705410e-01
3.639999999999999902e-01 8.118188109917582329e-01
3.649999999999999911e-01 8.080018639890412802e-01
3.659999999999999920e-01 8.042162326666666416e-01
3.669999999999999929e-01 8.004675423678474511e-01
3.679999999999999938e-01 7.967525061304346901e-01
3.689999999999999947e-01 7.930708163279133194e-01
3.699999999999999956e-01 7.894221689189189206e-01
3.709999999999999964e-01 7.858062633989216783e-01
3.719999999999999973e-01 7.822257029274195528e-01
3.729999999999999982e-01 7.786743831099196544e-01
3.739999999999999991e-01 7.751549244946523975e-01
3.750000000000000000e-01 7.716670402559998587e-01
