#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01919000   6.43500000  -6.11590000   3.52198699
  0.04419000   6.46000000  -9.27490000   3.53732596
  0.06919000   6.48500000 -11.59630000   3.55218975
  0.09419000   6.51000000 -13.51800000   3.56685679
  0.11919000   6.53500000 -15.19170000   3.58133584
  0.14419000   6.56000000 -16.69160000   3.59564463
  0.16919000   6.58500000 -18.06090000   3.60986313
  0.19419000   6.61000000 -19.32680000   3.62394014
  0.21919000   6.63500000 -20.50850000   3.63795501
  0.24419000   6.66000000 -21.61960000   3.65190801
  0.26919000   6.68500000 -22.67020000   3.66578221
  0.29419000   6.71000000 -23.66840000   3.67961792
  0.31919000   6.73500000 -24.62030000   3.69338951
  0.34419000   6.76000000 -25.53100000   3.70710658
  0.36919000   6.78500000 -26.40460000   3.72076094
  0.39419000   6.81000000 -27.24460000   3.73435886
  0.41919000   6.83500000 -28.05400000   3.74791184
  0.44419000   6.86000000 -28.83540000   3.76143464
  0.46919000   6.88500000 -29.59080000   3.77490190
  0.49419000   6.91000000 -30.32220000   3.78833192
  0.51919000   6.93500000 -31.03120000   3.80171677
  0.54419000   6.96000000 -31.71900000   3.81501793
  0.56919000   6.98500000 -32.38700000   3.82825148
  0.59419000   7.01000000 -33.03640000   3.84142363
  0.61919000   7.03500000 -33.66820000   3.85452823
  0.64419000   7.06000000 -34.28340000   3.86757379
  0.66919000   7.08500000 -34.88320000   3.88061007
  0.69419000   7.11000000 -35.46830000   3.89362499
  0.71919000   7.13500000 -36.03980000   3.90667362
  0.74419000   7.16000000 -36.59820000   3.91973313
  0.76919000   7.18500000 -37.14420000   3.93281700
  0.79419000   7.21000000 -37.67820000   3.94590262
  0.81919000   7.23500000 -38.20060000   3.95897347
