#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.13140000   4.65132679
  0.03500000   0.03500000  -7.70210000   4.65509146
  0.06000000   0.06000000 -10.04960000   4.65891785
  0.08500000   0.08500000 -11.92040000   4.66270108
  0.11000000   0.11000000 -13.51450000   4.66648618
  0.13500000   0.13500000 -14.92120000   4.67024134
  0.16000000   0.16000000 -16.18990000   4.67400428
  0.18500000   0.18500000 -17.35120000   4.67775628
  0.21000000   0.21000000 -18.42570000   4.68148900
  0.23500000   0.23500000 -19.42810000   4.68520633
  0.26000000   0.26000000 -20.36930000   4.68890629
  0.28500000   0.28500000 -21.25770000   4.69259595
  0.31000000   0.31000000 -22.09990000   4.69627562
  0.33500000   0.33500000 -22.90120000   4.69994231
  0.36000000   0.36000000 -23.66600000   4.70360611
  0.38500000   0.38500000 -24.39780000   4.70723909
  0.41000000   0.41000000 -25.09980000   4.71087294
  0.43500000   0.43500000 -25.77450000   4.71448419
  0.46000000   0.46000000 -26.42420000   4.71808438
  0.48500000   0.48500000 -27.05090000   4.72168301
  0.51000000   0.51000000 -27.65620000   4.72525744
  0.53500000   0.53500000 -28.24170000   4.72882620
  0.56000000   0.56000000 -28.80870000   4.73238135
  0.58500000   0.58500000 -29.35840000   4.73592377
  0.61000000   0.61000000 -29.89180000   4.73943956
  0.63500000   0.63500000 -30.41010000   4.74297324
  0.66000000   0.66000000 -30.91390000   4.74647218
  0.68500000   0.68500000 -31.40410000   4.74995633
  0.71000000   0.71000000 -31.88150000   4.75343936
  0.73500000   0.73500000 -32.34670000   4.75690909
  0.76000000   0.76000000 -32.80030000   4.76036362
  0.78500000   0.78500000 -33.24290000   4.76380982
  0.81000000   0.81000000 -33.67500000   4.76724413
  0.83500000   0.83500000 -34.09710000   4.77066998
  0.86000000   0.86000000 -34.50960000   4.77407905
  0.88500000   0.88500000 -34.91290000   4.77746875
  0.91000000   0.91000000 -35.30750000   4.78085916
  0.93500000   0.93500000 -35.69360000   4.78422169
  0.96000000   0.96000000 -36.07170000   4.78758496
  0.98500000   0.98500000 -36.44200000   4.79092836
  1.01000000   1.01000000 -36.80490000   4.79426985
  1.03500000   1.03500000 -37.16060000   4.79759546
  1.06000000   1.06000000 -37.50940000   4.80091155
  1.08500000   1.08500000 -37.85150000   4.80420973
  1.11000000   1.11000000 -38.18720000   4.80750129
  1.13500000   1.13500000 -38.51660000   4.81076522
  1.16000000   1.16000000 -38.84010000   4.81403426
  1.18500000   1.18500000 -39.15780000   4.81729130
  1.21000000   1.21000000 -39.46990000   4.82053823
  1.23500000   1.23500000 -39.77650000   4.82376143
  1.26000000   1.26000000 -40.07790000   4.82698307
  1.28500000   1.28500000 -40.37420000   4.83019245
  1.31000000   1.31000000 -40.66550000   4.83338020
  1.33500000   1.33500000 -40.95210000   4.83657236
  1.36000000   1.36000000 -41.23400000   4.83974487
  1.38500000   1.38500000 -41.51140000   4.84290890
  1.41000000   1.41000000 -41.78440000   4.84605958
  1.43500000   1.43500000 -42.05310000   4.84919297
  1.46000000   1.46000000 -42.31770000   4.85232307
  1.48500000   1.48500000 -42.57820000   4.85543066
  1.51000000   1.51000000 -42.83480000   4.85853137
  1.53500000   1.53500000 -43.08760000   4.86162453
  1.56000000   1.56000000 -43.33670000   4.86471020
  1.58500000   1.58500000 -43.58220000   4.86778911
  1.61000000   1.61000000 -43.82410000   4.87084558
  1.63500000   1.63500000 -44.06250000   4.87388158
  1.66000000   1.66000000 -44.29760000   4.87691664
  1.68500000   1.68500000 -44.52950000   4.87995383
  1.71000000   1.71000000 -44.75810000   4.88296266
  1.73500000   1.73500000 -44.98360000   4.88596423
  1.76000000   1.76000000 -45.20600000   4.88894601
  1.78500000   1.78500000 -45.42550000   4.89193004
  1.81000000   1.81000000 -45.64210000   4.89490466
  1.83500000   1.83500000 -45.85580000   4.89785858
  1.86000000   1.86000000 -46.06680000   4.90081510
  1.88500000   1.88500000 -46.27500000   4.90374654
  1.91000000   1.91000000 -46.48060000   4.90667694
  1.93500000   1.93500000 -46.68350000   4.90957928
  1.96000000   1.96000000 -46.88400000   4.91249545
  1.98500000   1.98500000 -47.08190000   4.91538184
  2.01000000   2.01000000 -47.27740000   4.91826382
  2.03500000   2.03500000 -47.47050000   4.92113267
  2.06000000   2.06000000 -47.66130000   4.92399717
  2.08500000   2.08500000 -47.84980000   4.92684910
  2.11000000   2.11000000 -48.03600000   4.92968048
  2.13500000   2.13500000 -48.22000000   4.93250082
  2.16000000   2.16000000 -48.40190000   4.93531993
  2.18500000   2.18500000 -48.58170000   4.93813052
  2.21000000   2.21000000 -48.75940000   4.94092546
  2.23500000   2.23500000 -48.93510000   4.94371523
  2.26000000   2.26000000 -49.10880000   4.94649309
  2.28500000   2.28500000 -49.28050000   4.94925247
  2.31000000   2.31000000 -49.45030000   4.95200444
  2.33500000   2.33500000 -49.61820000   4.95474279
  2.36000000   2.36000000 -49.78430000   4.95747899
  2.38500000   2.38500000 -49.94850000   4.96018958
  2.41000000   2.41000000 -50.11100000   4.96290394
  2.43500000   2.43500000 -50.27180000   4.96561652
  2.46000000   2.46000000 -50.43080000   4.96830422
  2.48500000   2.48500000 -50.58810000   4.97097931
  2.51000000   2.51000000 -50.74380000   4.97365429
