# E_cm Phase Eta
0.000860	49.720500	0.376844
0.212860	49.720500	0.376844
0.000860	49.720500	0.376844
0.001860	49.851800	0.426960
0.214720	49.851800	0.426960
0.212860	49.851800	0.426960
0.002860	50.398600	0.420361
0.217580	50.398600	0.420361
0.214720	50.398600	0.420361
0.003860	52.180300	0.319558
0.221440	52.180300	0.319558
0.217580	52.180300	0.319558
0.004860	-32.919800	0.478778
0.226300	-32.919800	0.478778
0.221440	-32.919800	0.478778
0.005860	41.026500	1.316042
0.232160	41.026500	1.316042
0.226300	41.026500	1.316042
0.006860	45.326900	0.947357
0.239020	45.326900	0.947357
0.232160	45.326900	0.947357
0.007860	46.511900	0.858289
0.246880	46.511900	0.858289
0.239020	46.511900	0.858289
0.008860	47.156500	0.818227
0.255740	47.156500	0.818227
0.246880	47.156500	0.818227
0.009860	47.635500	0.793474
0.265600	47.635500	0.793474
0.255740	47.635500	0.793474
0.010860	48.062200	0.774150
0.276460	48.062200	0.774150
0.265600	48.062200	0.774150
0.011860	48.484600	0.756278
0.288320	48.484600	0.756278
0.276460	48.484600	0.756278
0.012860	48.928900	0.737889
0.301180	48.928900	0.737889
0.288320	48.928900	0.737889
0.013860	49.413000	0.717820
0.315040	49.413000	0.717820
0.301180	49.413000	0.717820
0.014860	49.951700	0.695267
0.329900	49.951700	0.695267
0.315040	49.951700	0.695267
0.015860	50.559700	0.669581
0.345760	50.559700	0.669581
0.329900	50.559700	0.669581
0.016860	51.253300	0.640168
0.362620	51.253300	0.640168
0.345760	51.253300	0.640168
0.017860	52.053200	0.606438
0.380480	52.053200	0.606438
0.362620	52.053200	0.606438
0.018860	52.986700	0.567768
0.399340	52.986700	0.567768
0.380480	52.986700	0.567768
0.019860	54.093400	0.523486
0.419200	54.093400	0.523486
0.399340	54.093400	0.523486
0.020860	55.434500	0.472864
0.440060	55.434500	0.472864
0.419200	55.434500	0.472864
0.021860	57.115300	0.415141
0.461920	57.115300	0.415141
0.440060	57.115300	0.415141
0.022860	59.339100	0.349601
0.484780	59.339100	0.349601
0.461920	59.339100	0.349601
0.023860	62.570400	0.275859
0.508640	62.570400	0.275859
0.484780	62.570400	0.275859
