#    E_match       a_np3s       a_np1s         a_dd       a_dqdq         a_tp        a_hen
      0.0100       4.8802       4.8559       6.3777       8.4434       4.7360       2.6002
      0.0350       4.8866       4.8623       6.2643       8.3810       4.6759       2.6066
      0.0600       4.8930       4.8689       6.1673       8.3088       4.6194       2.6130
      0.0850       4.8994       4.8753       6.0860       8.2465       4.5745       2.6194
      0.1100       4.9058       4.8819       6.0172       8.1916       4.5380       2.6258
      0.1350       4.9122       4.8884       5.9582       8.1416       4.5074       2.6322
      0.1600       4.9186       4.8949       5.9064       8.0942       4.4812       2.6386
      0.1850       4.9250       4.9015       5.8602       8.0482       4.4584       2.6449
      0.2100       4.9314       4.9080       5.8185       8.0032       4.4381       2.6512
      0.2350       4.9378       4.9146       5.7804       7.9588       4.4199       2.6576
      0.2600       4.9443       4.9211       5.7453       7.9146       4.4032       2.6639
      0.2850       4.9507       4.9277       5.7126       7.8708       4.3879       2.6702
      0.3100       4.9571       4.9343       5.6820       7.8274       4.3737       2.6765
      0.3350       4.9636       4.9409       5.6532       7.7842       4.3604       2.6828
      0.3600       4.9700       4.9475       5.6259       7.7415       4.3480       2.6890
      0.3850       4.9764       4.9542       5.6000       7.6993       4.3362       2.6953
      0.4100       4.9829       4.9608       5.5754       7.6577       4.3249       2.7016
      0.4350       4.9893       4.9674       5.5518       7.6165       4.3142       2.7078
      0.4600       4.9958       4.9741       5.5291       7.5760       4.3038       2.7140
      0.4850       5.0022       4.9808       5.5073       7.5361       4.2939       2.7203
      0.5100       5.0087       4.9874       5.4863       7.4968       4.2842       2.7265
      0.5350       5.0152       4.9941       5.4659       7.4580       4.2748       2.7327
      0.5600       5.0216       5.0008       5.4462       7.4197       4.2656       2.7389
      0.5850       5.0281       5.0075       5.4269       7.3819       4.2567       2.7451
      0.6100       5.0346       5.0143       5.4082       7.3445       4.2478       2.7513
      0.6350       5.0411       5.0210       5.3898       7.3073       4.2391       2.7575
      0.6600       5.0475       5.0278       5.3718       7.2704       4.2306       2.7636
      0.6850       5.0540       5.0345       5.3542       7.2335       4.2220       2.7698
      0.7100       5.0605       5.0413       5.3368       7.1967       4.2135       2.7760
      0.7350       5.0670       5.0481       5.3197       7.1597       4.2051       2.7821
      0.7600       5.0735       5.0549       5.3027       7.1225       4.1966       2.7882
      0.7850       5.0800       5.0617       5.2860       7.0851       4.1880       2.7944
      0.8100       5.0866       5.0685       5.2693       7.0472       4.1793       2.8005
      0.8350       5.0931       5.0753       5.2527       7.0088       4.1704       2.8066
      0.8600       5.0996       5.0822       5.2363       6.9699       4.1612       2.8127
      0.8850       5.1061       5.0890       5.2199       6.9303       4.1517       2.8188
      0.9100       5.1127       5.0959       5.2035       6.8899       4.1414       2.8249
      0.9350       5.1192       5.1028       5.1871       6.8488       4.1300       2.8309
      0.9600       5.1258       5.1096       5.1707       6.8068       4.1163       2.8370
      0.9850       5.1323       5.1165       5.1543       6.7640       4.0992       2.8430
      1.0100       5.1389       5.1235       5.1378       6.7201       4.0953       2.8490
      1.0350       5.1455       5.1304       5.1214       6.6754       4.0913       2.8551
      1.0600       5.1520       5.1373       5.1048       6.6296       4.0873       2.8611
