#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.33390000   4.88016247
  0.03500000   0.03500000  -8.08020000   4.88659864
  0.06000000   0.06000000 -10.54340000   4.89296646
  0.08500000   0.08500000 -12.50690000   4.89938833
  0.11000000   0.11000000 -14.18020000   4.90578032
  0.13500000   0.13500000 -15.65720000   4.91220119
  0.16000000   0.16000000 -16.98950000   4.91861628
  0.18500000   0.18500000 -18.20920000   4.92501397
  0.21000000   0.21000000 -19.33810000   4.93144266
  0.23500000   0.23500000 -20.39140000   4.93784482
  0.26000000   0.26000000 -21.38070000   4.94426459
  0.28500000   0.28500000 -22.31480000   4.95070544
  0.31000000   0.31000000 -23.20050000   4.95713771
  0.33500000   0.33500000 -24.04340000   4.96356952
  0.36000000   0.36000000 -24.84810000   4.97000898
  0.38500000   0.38500000 -25.61830000   4.97643352
  0.41000000   0.41000000 -26.35740000   4.98288688
  0.43500000   0.43500000 -27.06800000   4.98933901
  0.46000000   0.46000000 -27.75240000   4.99577862
  0.48500000   0.48500000 -28.41280000   5.00223842
  0.51000000   0.51000000 -29.05090000   5.00869874
  0.53500000   0.53500000 -29.66830000   5.01516360
  0.56000000   0.56000000 -30.26640000   5.02163237
  0.58500000   0.58500000 -30.84650000   5.02811455
  0.61000000   0.61000000 -31.40960000   5.03458548
  0.63500000   0.63500000 -31.95680000   5.04106262
  0.66000000   0.66000000 -32.48900000   5.04754262
  0.68500000   0.68500000 -33.00710000   5.05403835
  0.71000000   0.71000000 -33.51180000   5.06053802
  0.73500000   0.73500000 -34.00380000   5.06704242
  0.76000000   0.76000000 -34.48370000   5.07354417
  0.78500000   0.78500000 -34.95210000   5.08004555
  0.81000000   0.81000000 -35.40970000   5.08657609
  0.83500000   0.83500000 -35.85680000   5.09309747
  0.86000000   0.86000000 -36.29390000   5.09961609
  0.88500000   0.88500000 -36.72150000   5.10614428
  0.91000000   0.91000000 -37.14000000   5.11268118
  0.93500000   0.93500000 -37.54980000   5.11923087
  0.96000000   0.96000000 -37.95120000   5.12578346
  0.98500000   0.98500000 -38.34450000   5.13233325
  1.01000000   1.01000000 -38.73010000   5.13889669
  1.03500000   1.03500000 -39.10830000   5.14547515
  1.06000000   1.06000000 -39.47920000   5.15203652
  1.08500000   1.08500000 -39.84330000   5.15862490
  1.11000000   1.11000000 -40.20070000   5.16521374
  1.13500000   1.13500000 -40.55160000   5.17179728
  1.16000000   1.16000000 -40.89630000   5.17839030
  1.18500000   1.18500000 -41.23510000   5.18500964
  1.21000000   1.21000000 -41.56800000   5.19161932
  1.23500000   1.23500000 -41.89530000   5.19823996
  1.26000000   1.26000000 -42.21710000   5.20485732
  1.28500000   1.28500000 -42.53370000   5.21149528
  1.31000000   1.31000000 -42.84510000   5.21812438
  1.33500000   1.33500000 -43.15160000   5.22477135
  1.36000000   1.36000000 -43.45330000   5.23142765
  1.38500000   1.38500000 -43.75030000   5.23808596
  1.41000000   1.41000000 -44.04280000   5.24475837
  1.43500000   1.43500000 -44.33090000   5.25143978
  1.46000000   1.46000000 -44.61470000   5.25812604
  1.48500000   1.48500000 -44.89430000   5.26481394
  1.51000000   1.51000000 -45.16990000   5.27151957
  1.53500000   1.53500000 -45.44150000   5.27822308
  1.56000000   1.56000000 -45.70930000   5.28494222
