#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.31240000   4.85586062
  0.03500000   0.03500000  -8.04060000   4.86233193
  0.06000000   0.06000000 -10.49260000   4.86885450
  0.08500000   0.08500000 -12.44740000   4.87532843
  0.11000000   0.11000000 -14.11380000   4.88185001
  0.13500000   0.13500000 -15.58490000   4.88835673
  0.16000000   0.16000000 -16.91230000   4.89490999
  0.18500000   0.18500000 -18.12780000   4.90145338
  0.21000000   0.21000000 -19.25290000   4.90798572
  0.23500000   0.23500000 -20.30310000   4.91455772
  0.26000000   0.26000000 -21.28960000   4.92112147
  0.28500000   0.28500000 -22.22120000   4.92769630
  0.31000000   0.31000000 -23.10490000   4.93431132
  0.33500000   0.33500000 -23.94600000   4.94090917
  0.36000000   0.36000000 -24.74920000   4.94752864
  0.38500000   0.38500000 -25.51820000   4.95415186
  0.41000000   0.41000000 -26.25620000   4.96078250
  0.43500000   0.43500000 -26.96590000   4.96741720
  0.46000000   0.46000000 -27.64980000   4.97409006
  0.48500000   0.48500000 -28.30970000   4.98075130
  0.51000000   0.51000000 -28.94750000   4.98742634
  0.53500000   0.53500000 -29.56480000   4.99412106
  0.56000000   0.56000000 -30.16290000   5.00081633
  0.58500000   0.58500000 -30.74320000   5.00754351
  0.61000000   0.61000000 -31.30660000   5.01425946
  0.63500000   0.63500000 -31.85430000   5.02100270
  0.66000000   0.66000000 -32.38710000   5.02775140
  0.68500000   0.68500000 -32.90580000   5.03450039
  0.71000000   0.71000000 -33.41130000   5.04127766
  0.73500000   0.73500000 -33.90420000   5.04806560
  0.76000000   0.76000000 -34.38510000   5.05485774
  0.78500000   0.78500000 -34.85460000   5.06165719
  0.81000000   0.81000000 -35.31330000   5.06847541
  0.83500000   0.83500000 -35.76170000   5.07531244
  0.86000000   0.86000000 -36.20020000   5.08215647
  0.88500000   0.88500000 -36.62920000   5.08900186
  0.91000000   0.91000000 -37.04920000   5.09586696
  0.93500000   0.93500000 -37.46060000   5.10275636
  0.96000000   0.96000000 -37.86360000   5.10964227
  0.98500000   0.98500000 -38.25860000   5.11653795
  1.01000000   1.01000000 -38.64600000   5.12346022
  1.03500000   1.03500000 -39.02600000   5.13039256
  1.06000000   1.06000000 -39.39890000   5.13733995
  1.08500000   1.08500000 -39.76490000   5.14429194
  1.11000000   1.11000000 -40.12430000   5.15125895
  1.13500000   1.13500000 -40.47730000   5.15823561
  1.16000000   1.16000000 -40.82410000   5.16521875
  1.18500000   1.18500000 -41.16500000   5.17222552
  1.21000000   1.21000000 -41.50020000   5.17925676
  1.23500000   1.23500000 -41.82970000   5.18627869
  1.26000000   1.26000000 -42.15390000   5.19333205
  1.28500000   1.28500000 -42.47280000   5.20038627
  1.31000000   1.31000000 -42.78660000   5.20744868
  1.33500000   1.33500000 -43.09560000   5.21454620
  1.36000000   1.36000000 -43.39970000   5.22163408
  1.38500000   1.38500000 -43.69920000   5.22874172
  1.41000000   1.41000000 -43.99430000   5.23588146
  1.43500000   1.43500000 -44.28490000   5.24301183
