#E_tot          E_tot-Eth     Phase(s) scatt. length
  3.06000000   3.06000000 -54.80250000   5.21889926
  3.08500000   3.08500000 -54.93290000   5.22290631
  3.11000000   3.11000000 -55.06230000   5.22693536
  3.13500000   3.13500000 -55.19060000   5.23096391
  3.16000000   3.16000000 -55.31780000   5.23498885
  3.18500000   3.18500000 -55.44400000   5.23902667
  3.21000000   3.21000000 -55.56920000   5.24307446
  3.23500000   3.23500000 -55.69330000   5.24710969
  3.26000000   3.26000000 -55.81650000   5.25116880
  3.28500000   3.28500000 -55.93870000   5.25522938
  3.31000000   3.31000000 -56.05990000   5.25928863
  3.33500000   3.33500000 -56.18020000   5.26336369
  3.36000000   3.36000000 -56.29960000   5.26745198
  3.38500000   3.38500000 -56.41800000   5.27153099
  3.41000000   3.41000000 -56.53560000   5.27563809
  3.43500000   3.43500000 -56.65220000   5.27973080
  3.46000000   3.46000000 -56.76800000   5.28384674
  3.48500000   3.48500000 -56.88280000   5.28794329
  3.51000000   3.51000000 -56.99690000   5.29207854
  3.53500000   3.53500000 -57.11010000   5.29620984
  3.56000000   3.56000000 -57.22240000   5.30033483
  3.58500000   3.58500000 -57.33400000   5.30449190
  3.61000000   3.61000000 -57.44470000   5.30863818
  3.63500000   3.63500000 -57.55460000   5.31279183
  3.66000000   3.66000000 -57.66380000   5.31697124
  3.68500000   3.68500000 -57.77210000   5.32113328
  3.71000000   3.71000000 -57.87970000   5.32531696
  3.73500000   3.73500000 -57.98660000   5.32952037
  3.76000000   3.76000000 -58.09270000   5.33372084
  3.78500000   3.78500000 -58.19800000   5.33791633
  3.81000000   3.81000000 -58.30270000   5.34214650
  3.83500000   3.83500000 -58.40660000   5.34636784
  3.86000000   3.86000000 -58.50980000   5.35059930
  3.88500000   3.88500000 -58.61240000   5.35486008
  3.91000000   3.91000000 -58.71420000   5.35910638
  3.93500000   3.93500000 -58.81530000   5.36335736
  3.96000000   3.96000000 -58.91580000   5.36763241
  3.98500000   3.98500000 -59.01570000   5.37192992
  4.01000000   4.01000000 -59.11480000   5.37620571
  4.03500000   4.03500000 -59.21340000   5.38052192
  4.06000000   4.06000000 -59.31130000   5.38483432
  4.08500000   4.08500000 -59.40850000   5.38914118
  4.11000000   4.11000000 -59.50520000   5.39348384
  4.13500000   4.13500000 -59.60120000   5.39781775
  4.16000000   4.16000000 -59.69660000   5.40216287
  4.18500000   4.18500000 -59.79150000   5.40653937
  4.21000000   4.21000000 -59.88570000   5.41090241
  4.23500000   4.23500000 -59.97940000   5.41529394
  4.26000000   4.26000000 -60.07240000   5.41966891
  4.28500000   4.28500000 -60.16500000   5.42409146
  4.31000000   4.31000000 -60.25690000   5.42849448
  4.33500000   4.33500000 -60.34830000   5.43292045
  4.36000000   4.36000000 -60.43920000   5.43736809
  4.38500000   4.38500000 -60.52950000   5.44181396
  4.41000000   4.41000000 -60.61920000   5.44625661
  4.43500000   4.43500000 -60.70850000   5.45073920
  4.46000000   4.46000000 -60.79720000   5.45521595
  4.48500000   4.48500000 -60.88540000   5.45970787
  4.51000000   4.51000000 -60.97310000   5.46421371
  4.53500000   4.53500000 -61.06030000   5.46873226
  4.56000000   4.56000000 -61.14700000   5.47326230
  4.58500000   4.58500000 -61.23320000   5.47780260
  4.61000000   4.61000000 -61.31900000   5.48237470
  4.63500000   4.63500000 -61.40420000   5.48693201
  4.66000000   4.66000000 -61.48900000   5.49151884
  4.68500000   4.68500000 -61.57330000   5.49611127
  4.71000000   4.71000000 -61.65710000   5.50070813
  4.73500000   4.73500000 -61.74050000   5.50533127
  4.76000000   4.76000000 -61.82340000   5.50995661
  4.78500000   4.78500000 -61.90580000   5.51458297
  4.81000000   4.81000000 -61.98790000   5.51925566
  4.83500000   4.83500000 -62.06950000   5.52392731
  4.86000000   4.86000000 -62.15060000   5.52859675
  4.88500000   4.88500000 -62.23130000   5.53328627
  4.91000000   4.91000000 -62.31160000   5.53799490
  4.93500000   4.93500000 -62.39150000   5.54272169
  4.96000000   4.96000000 -62.47100000   5.54746571
  4.98500000   4.98500000 -62.55000000   5.55220232
