#E_tot          E_tot-Eth     Phase(s) scatt. length
  3.06000000   3.06000000 -56.53390000   5.56882358
  3.08500000   3.08500000 -56.66780000   5.57448943
  3.11000000   3.11000000 -56.80050000   5.58014647
  3.13500000   3.13500000 -56.93200000   5.58579102
  3.16000000   3.16000000 -57.06240000   5.59144082
  3.18500000   3.18500000 -57.19160000   5.59707100
  3.21000000   3.21000000 -57.31970000   5.60269947
  3.23500000   3.23500000 -57.44670000   5.60832289
  3.26000000   3.26000000 -57.57260000   5.61393790
  3.28500000   3.28500000 -57.69740000   5.61954120
  3.31000000   3.31000000 -57.82120000   5.62515129
  3.33500000   3.33500000 -57.94390000   5.63074326
  3.36000000   3.36000000 -58.06550000   5.63631387
  3.38500000   3.38500000 -58.18620000   5.64190387
  3.41000000   3.41000000 -58.30580000   5.64746638
  3.43500000   3.43500000 -58.42440000   5.65302034
  3.46000000   3.46000000 -58.54210000   5.65858499
  3.48500000   3.48500000 -58.65870000   5.66411310
  3.51000000   3.51000000 -58.77440000   5.66964621
  3.53500000   3.53500000 -58.88920000   5.67518162
  3.56000000   3.56000000 -59.00310000   5.68071668
  3.58500000   3.58500000 -59.11600000   5.68622620
  3.61000000   3.61000000 -59.22800000   5.69172995
  3.63500000   3.63500000 -59.33910000   5.69722532
  3.66000000   3.66000000 -59.44930000   5.70270970
  3.68500000   3.68500000 -59.55870000   5.70820331
  3.71000000   3.71000000 -59.66720000   5.71368094
  3.73500000   3.73500000 -59.77490000   5.71916296
  3.76000000   3.76000000 -59.88170000   5.72462404
  3.78500000   3.78500000 -59.98760000   5.73006164
  3.81000000   3.81000000 -60.09280000   5.73551957
  3.83500000   3.83500000 -60.19710000   5.74094929
  3.86000000   3.86000000 -60.30070000   5.74639492
  3.88500000   3.88500000 -60.40340000   5.75180766
  3.91000000   3.91000000 -60.50540000   5.75723193
  3.93500000   3.93500000 -60.60660000   5.76264218
  3.96000000   3.96000000 -60.70710000   5.76805978
  3.98500000   3.98500000 -60.80680000   5.77345905
  4.01000000   4.01000000 -60.90570000   5.77883779
  4.03500000   4.03500000 -61.00390000   5.78421760
  4.06000000   4.06000000 -61.10140000   5.78959649
  4.08500000   4.08500000 -61.19820000   5.79497252
  4.11000000   4.11000000 -61.29420000   5.80031969
  4.13500000   4.13500000 -61.38960000   5.80568403
  4.16000000   4.16000000 -61.48430000   5.81103966
  4.18500000   4.18500000 -61.57830000   5.81638463
  4.21000000   4.21000000 -61.67160000   5.82171703
  4.23500000   4.23500000 -61.76420000   5.82703493
  4.26000000   4.26000000 -61.85620000   5.83236091
  4.28500000   4.28500000 -61.94750000   5.83766872
  4.31000000   4.31000000 -62.03820000   5.84298110
  4.33500000   4.33500000 -62.12820000   5.84827167
  4.36000000   4.36000000 -62.21770000   5.85358812
  4.38500000   4.38500000 -62.30640000   5.85885445
  4.41000000   4.41000000 -62.39460000   5.86414335
  4.43500000   4.43500000 -62.48220000   5.86942839
  4.46000000   4.46000000 -62.56910000   5.87468287
  4.48500000   4.48500000 -62.65550000   5.87995523
  4.51000000   4.51000000 -62.74130000   5.88521886
  4.53500000   4.53500000 -62.82640000   5.89044681
  4.56000000   4.56000000 -62.91100000   5.89568801
  4.58500000   4.58500000 -62.99510000   5.90094109
  4.61000000   4.61000000 -63.07850000   5.90615359
  4.63500000   4.63500000 -63.16140000   5.91137491
  4.66000000   4.66000000 -63.24380000   5.91660367
  4.68500000   4.68500000 -63.32560000   5.92181276
  4.71000000   4.71000000 -63.40690000   5.92702643
  4.73500000   4.73500000 -63.48760000   5.93221739
  4.76000000   4.76000000 -63.56780000   5.93741008
  4.78500000   4.78500000 -63.64750000   5.94260313
  4.81000000   4.81000000 -63.72660000   5.94776907
  4.83500000   4.83500000 -63.80530000   5.95295876
  4.86000000   4.86000000 -63.88340000   5.95811851
  4.88500000   4.88500000 -63.96100000   5.96327313
  4.91000000   4.91000000 -64.03820000   5.96844775
  4.93500000   4.93500000 -64.11480000   5.97358820
  4.96000000   4.96000000 -64.19100000   5.97874616
  4.98500000   4.98500000 -64.26660000   5.98386716
