#E_tot          E_tot-Eth     Phase(s) scatt. length
  6.91378000  10.76756000 -75.61310000   6.75098365
  6.93878000  10.79256000 -75.72560000   6.79421194
  6.96378000  10.81756000 -75.83770000   6.83796575
  6.98878000  10.84256000 -75.94940000   6.88225375
  7.01378000  10.86756000 -76.06080000   6.92713647
  7.03878000  10.89256000 -76.17170000   6.97252027
  7.06378000  10.91756000 -76.28230000   7.01851855
  7.08878000  10.94256000 -76.39250000   7.06508909
  7.11378000  10.96756000 -76.50230000   7.11224159
  7.13878000  10.99256000 -76.61170000   7.15998594
  7.16378000  11.01756000 -76.72080000   7.20838858
  7.18878000  11.04256000 -76.82950000   7.25740522
  7.21378000  11.06756000 -76.93780000   7.30704650
  7.23878000  11.09256000 -77.04580000   7.35738211
  7.26378000  11.11756000 -77.15330000   7.40830650
  7.28878000  11.14256000 -77.26050000   7.45994953
  7.31378000  11.16756000 -77.36740000   7.51232558
  7.33878000  11.19256000 -77.47380000   7.56532471
  7.36378000  11.21756000 -77.57990000   7.61908303
  7.38878000  11.24256000 -77.68570000   7.67361601
  7.41378000  11.26756000 -77.79100000   7.72880901
  7.43878000  11.29256000 -77.89600000   7.78480486
  7.46378000  11.31756000 -78.00060000   7.84155291
  7.48878000  11.34256000 -78.10490000   7.89913546
  7.51378000  11.36756000 -78.20880000   7.95750061
  7.53878000  11.39256000 -78.31240000   8.01673361
  7.56378000  11.41756000 -78.41560000   8.07678125
  7.58878000  11.44256000 -78.51840000   8.13765908
  7.61378000  11.46756000 -78.62090000   8.19945701
  7.63878000  11.49256000 -78.72300000   8.26211976
  7.66378000  11.51756000 -78.82470000   8.32566418
  7.68878000  11.54256000 -78.92610000   8.39018518
  7.71378000  11.56756000 -79.02720000   8.45570433
  7.73878000  11.59256000 -79.12790000   8.52216354
  7.76378000  11.61756000 -79.22820000   8.58958162
  7.78878000  11.64256000 -79.32820000   8.65806090
  7.81378000  11.66756000 -79.42790000   8.72762546
  7.83878000  11.69256000 -79.52720000   8.79821418
  7.86378000  11.71756000 -79.62610000   8.86984817
  7.88878000  11.74256000 -79.72470000   8.94263800
  7.91378000  11.76756000 -79.82290000   9.01652014
  7.93878000  11.79256000 -79.92090000   9.09170176
  7.96378000  11.81756000 -80.01840000   9.16793511
  7.98878000  11.84256000 -80.11560000   9.24543051
  8.01378000  11.86756000 -80.21250000   9.32421822
  8.03878000  11.89256000 -80.30910000   9.40432947
  8.06378000  11.91756000 -80.40530000   9.48569579
  8.08878000  11.94256000 -80.50120000   9.56844748
  8.11378000  11.96756000 -80.59670000   9.65251427
  8.13878000  11.99256000 -80.69190000   9.73803216
  8.16378000  12.01756000 -80.78680000   9.82503756
  8.18878000  12.04256000 -80.88130000   9.91345755
  8.21378000  12.06756000 -80.97550000  10.00343735
  8.23878000  12.09256000 -81.06940000  10.09501706
  8.26378000  12.11756000 -81.16290000  10.18812101
  8.28878000  12.14256000 -81.25620000  10.28302406
  8.31378000  12.16756000 -81.34910000  10.37953392
  8.33878000  12.19256000 -81.70320000  10.81294256
  8.36378000  12.21756000 -81.53390000  10.57778345
  8.38878000  12.24256000 -81.62590000  10.67974385
  8.41378000  12.26756000 -81.71750000  10.78348932
  8.43878000  12.29256000 -81.80880000  10.88919917
  8.46378000  12.31756000 -81.89980000  10.99692787
  8.48878000  12.34256000 -81.99050000  11.10673193
  8.51378000  12.36756000 -82.08090000  11.21866996
  8.53878000  12.39256000 -82.17100000  11.33280281
  8.56378000  12.41756000 -82.26070000  11.44904391
  8.58878000  12.44256000 -82.35020000  11.56775510
  8.61378000  12.46756000 -82.43940000  11.68885799
  8.63878000  12.49256000 -82.52820000  11.81226354
  8.66378000  12.51756000 -82.61680000  11.93836164
  8.68878000  12.54256000 -82.70510000  12.06707252
  8.71378000  12.56756000 -82.79300000  12.19830489
  8.73878000  12.59256000 -82.88070000  12.33247991
  8.76378000  12.61756000 -82.96810000  12.46951683
  8.78878000  12.64256000 -83.05520000  12.60950575
  8.81378000  12.66756000 -83.14200000  12.75254054
  8.83878000  12.69256000 -83.22860000  12.89891141
