#E_tot          E_tot-Eth     Phase(s) scatt. length
  3.06000000   3.06000000 -56.24120000   5.50745496
  3.08500000   3.08500000 -56.37170000   5.51222816
  3.11000000   3.11000000 -56.50090000   5.51696671
  3.13500000   3.13500000 -56.62900000   5.52170876
  3.16000000   3.16000000 -56.75580000   5.52640881
  3.18500000   3.18500000 -56.88160000   5.53112642
  3.21000000   3.21000000 -57.00620000   5.53581610
  3.23500000   3.23500000 -57.12970000   5.54049555
  3.26000000   3.26000000 -57.25200000   5.54514023
  3.28500000   3.28500000 -57.37330000   5.54978934
  3.31000000   3.31000000 -57.49360000   5.55443983
  3.33500000   3.33500000 -57.61270000   5.55904579
  3.36000000   3.36000000 -57.73090000   5.56366837
  3.38500000   3.38500000 -57.84800000   5.56826166
  3.41000000   3.41000000 -57.96410000   5.57284414
  3.43500000   3.43500000 -58.07920000   5.57741291
  3.46000000   3.46000000 -58.19330000   5.58196506
  3.48500000   3.48500000 -58.30640000   5.58649772
  3.51000000   3.51000000 -58.41860000   5.59102991
  3.53500000   3.53500000 -58.52990000   5.59555898
  3.56000000   3.56000000 -58.64020000   5.60006030
  3.58500000   3.58500000 -58.74960000   5.60455316
  3.61000000   3.61000000 -58.85810000   5.60903495
  3.63500000   3.63500000 -58.96570000   5.61350312
  3.66000000   3.66000000 -59.07240000   5.61795512
  3.68500000   3.68500000 -59.17820000   5.62238841
  3.71000000   3.71000000 -59.28320000   5.62682286
  3.73500000   3.73500000 -59.38730000   5.63123371
  3.76000000   3.76000000 -59.49060000   5.63564099
  3.78500000   3.78500000 -59.59310000   5.64004242
  3.81000000   3.81000000 -59.69470000   5.64441312
  3.83500000   3.83500000 -59.79560000   5.64879601
  3.86000000   3.86000000 -59.89560000   5.65314358
  3.88500000   3.88500000 -59.99490000   5.65749902
  3.91000000   3.91000000 -60.09330000   5.66181460
  3.93500000   3.93500000 -60.19100000   5.66613379
  3.96000000   3.96000000 -60.28800000   5.67045460
  3.98500000   3.98500000 -60.38420000   5.67475201
  4.01000000   4.01000000 -60.47970000   5.67904699
  4.03500000   4.03500000 -60.57440000   5.68331440
  4.06000000   4.06000000 -60.66840000   5.68757538
  4.08500000   4.08500000 -60.76170000   5.69182799
  4.11000000   4.11000000 -60.85430000   5.69607031
  4.13500000   4.13500000 -60.94620000   5.70030046
  4.16000000   4.16000000 -61.03750000   5.70454004
  4.18500000   4.18500000 -61.12800000   5.70874023
  4.21000000   4.21000000 -61.21790000   5.71294622
  4.23500000   4.23500000 -61.30710000   5.71713267
  4.26000000   4.26000000 -61.39570000   5.72132146
  4.28500000   4.28500000 -61.48360000   5.72548713
  4.31000000   4.31000000 -61.57080000   5.72962786
  4.33500000   4.33500000 -61.65750000   5.73378970
  4.36000000   4.36000000 -61.74350000   5.73792322
  4.38500000   4.38500000 -61.82890000   5.74205067
  4.41000000   4.41000000 -61.91370000   5.74617046
