#    E_match       a_np3s       a_np1s         a_dd       a_dqdq         a_tp        a_hen
      0.0100       4.1718       4.2799       6.8784       8.8555       4.5008       2.4311
      0.0350       4.1737       4.2814       5.4525       8.6229       4.4459       2.4349
      0.0600       4.1756       4.2829       5.3744       8.4584       4.3935       2.4384
      0.0850       4.1775       4.2844       5.3081       8.3223       4.3512       2.4418
      0.1100       4.1794       4.2860       5.2510       8.2105       4.3167       2.4452
      0.1350       4.1814       4.2875       5.1968       8.1169       4.2878       2.4486
      0.1600       4.1834       4.2891       5.1449       8.0369       4.2628       2.4521
      0.1850       4.1853       4.2907       5.0985       7.9671       4.2408       2.4555
      0.2100       4.1873       4.2922       5.0572       7.9051       4.2212       2.4589
      0.2350       4.1893       4.2939       5.0205       7.8493       4.2035       2.4623
      0.2600       4.1913       4.2955       4.9875       7.7982       4.1873       2.4657
      0.2850       4.1933       4.2971       4.9576       7.7509       4.1724       2.4692
      0.3100       4.1953       4.2988       4.9302       7.7068       4.1585       2.4726
      0.3350       4.1974       4.3005       4.9051       7.6650       4.1455       2.4760
      0.3600       4.1994       4.3022       4.8817       7.6252       4.1333       2.4794
      0.3850       4.2015       4.3039       4.8599       7.5870       4.1217       2.4829
      0.4100       4.2036       4.3057       4.8394       7.5500       4.1106       2.4863
      0.4350       4.2057       4.3074       4.8201       7.5140       4.1000       2.4897
      0.4600       4.2078       4.3092       4.8019       7.4788       4.0899       2.4932
      0.4850       4.2099       4.3110       4.7845       7.4441       4.0802       2.4966
      0.5100       4.2120       4.3128       4.7679       7.4099       4.0707       2.5000
      0.5350       4.2142       4.3146       4.7520       7.3759       4.0616       2.5035
      0.5600       4.2163       4.3164       4.7367       7.3420       4.0527       2.5069
      0.5850       4.2185       4.3183       4.7220       7.3082       4.0441       2.5103
      0.6100       4.2207       4.3202       4.7078       7.2744       4.0356       2.5138
      0.6350       4.2229       4.3221       4.6940       7.2404       4.0274       2.5172
      0.6600       4.2251       4.3240       4.6806       7.2061       4.0193       2.5207
