#E_tot          E_tot-Eth    Phase(s)
  6.65000000   0.01760000 -84.51600000
  6.70000000   0.06760000  77.74730000
  6.75000000   0.11760000 -36.78610000
  6.80000000   0.16760000 -55.90740000
  6.85000000   0.21760000 -67.15340000
  6.90000000   0.26760000 -82.87470000
  6.95000000   0.31760000 -83.75010000
  7.00000000   0.36760000  51.99020000
  7.05000000   0.41760000  85.85570000
  7.10000000   0.46760000  61.24410000
  7.15000000   0.51760000  52.55600000
  7.20000000   0.56760000  38.96080000
  7.25000000   0.61760000  36.40920000
  7.30000000   0.66760000  20.47870000
  7.35000000   0.71760000  18.69340000
  7.40000000   0.76760000  15.52000000
  7.45000000   0.81760000   8.86240000
  7.50000000   0.86760000 -86.52220000
  7.55000000   0.91760000  85.28350000
  7.60000000   0.96760000  83.35440000
  7.65000000   1.01760000  76.98760000
  7.70000000   1.06760000  72.56990000
  7.75000000   1.11760000  66.74980000
  7.80000000   1.16760000  63.63220000
  7.85000000   1.21760000  56.35040000
  7.90000000   1.26760000  52.44220000
  7.95000000   1.31760000 -39.53800000
  8.00000000   1.36760000 -46.23860000
  8.05000000   1.41760000 -49.43080000
  8.10000000   1.46760000 -52.64840000
  8.15000000   1.51760000 -56.95820000
  8.20000000   1.56760000 -59.93950000
  8.25000000   1.61760000 -64.81810000
  8.30000000   1.66760000 -68.12610000
  8.35000000   1.71760000 -72.56010000
  8.40000000   1.76760000 -75.27400000
  8.45000000   1.81760000 -79.47040000
  8.50000000   1.86760000 -82.65250000
  8.55000000   1.91760000 -86.17440000
  8.60000000   1.96760000 -89.12230000
  8.65000000   2.01760000  87.02740000
  8.70000000   2.06760000  -6.95720000
  8.75000000   2.11760000  -9.88370000
  8.80000000   2.16760000 -12.45750000
  8.85000000   2.21760000 -15.91190000
  8.90000000   2.26760000 -18.92560000
  8.95000000   2.31760000 -22.12050000
  9.00000000   2.36760000 -25.24410000
  9.05000000   2.41760000  61.46720000
  9.10000000   2.46760000  58.32780000
  9.15000000   2.51760000  55.88500000
  9.20000000   2.56760000  52.28550000
  9.25000000   2.61760000 -41.42650000
  9.30000000   2.66760000 -43.68020000
  9.35000000   2.71760000 -46.16180000
  9.40000000   2.76760000 -48.76640000
  9.45000000   2.81760000 -52.30050000
  9.50000000   2.86760000 -54.55470000
  9.55000000   2.91760000 -57.95320000
  9.60000000   2.96760000 -59.27860000
  9.65000000   3.01760000 -63.07770000
  9.70000000   3.06760000 -65.46770000
  9.75000000   3.11760000 -67.82550000
  9.80000000   3.16760000 -70.27650000
  9.85000000   3.21760000 -73.45250000
  9.90000000   3.26760000 -76.01790000
  9.95000000   3.31760000 -78.43730000
 10.00000000   3.36760000 -80.73210000
