#E_tot          E_tot-Eth    Phase(s)
  5.47028000   0.01760000 -64.90290000
  5.52028000   0.06760000 -82.80990000
  5.57028000   0.11760000 -17.46460000
  5.62028000   0.16760000 -36.73710000
  5.67028000   0.21760000 -48.00270000
  5.72028000   0.26760000 -63.99050000
  5.77028000   0.31760000 -65.72880000
  5.82028000   0.36760000  72.10110000
  5.87028000   0.41760000 -76.27120000
  5.92028000   0.46760000  79.60550000
  5.97028000   0.51760000  70.93000000
  6.02028000   0.56760000  57.15310000
  6.07028000   0.61760000  54.46800000
  6.12028000   0.66760000  38.23070000
  6.17028000   0.71760000  36.39850000
  6.22028000   0.76760000  33.09410000
  6.27028000   0.81760000  26.32280000
  6.32028000   0.86760000 -69.18600000
  6.37028000   0.91760000 -77.49810000
  6.42028000   0.96760000 -79.54300000
  6.47028000   1.01760000 -86.02460000
  6.52028000   1.06760000  89.44430000
  6.57028000   1.11760000  83.51270000
  6.62028000   1.16760000  80.27880000
  6.67028000   1.21760000  72.88810000
  6.72028000   1.26760000  68.87740000
  6.77028000   1.31760000 -23.19960000
  6.82028000   1.36760000 -30.02120000
  6.87028000   1.41760000 -33.31560000
  6.92028000   1.46760000 -36.63380000
  6.97028000   1.51760000 -41.04190000
  7.02028000   1.56760000 -44.10520000
  7.07028000   1.61760000  40.93190000
  7.12028000   1.66760000  37.64330000
  7.17028000   1.71760000  32.96170000
  7.22028000   1.76760000  30.11610000
  7.27028000   1.81760000  25.86590000
  7.32028000   1.86760000  22.58900000
  7.37028000   1.91760000  18.97460000
  7.42028000   1.96760000  15.93750000
  7.47028000   2.01760000  11.99440000
  7.52028000   2.06760000 -82.07570000
  7.57028000   2.11760000 -85.08880000
  7.62028000   2.16760000 -87.74700000
  7.67028000   2.21760000  88.70640000
  7.72028000   2.26760000  85.60450000
  7.77028000   2.31760000  82.33060000
  7.82028000   2.36760000  79.12260000
  7.87028000   2.41760000 -14.24900000
  7.92028000   2.46760000 -17.47010000
  7.97028000   2.51760000 -19.98650000
  8.02028000   2.56760000 -23.68700000
  8.07028000   2.61760000 -27.01390000
  8.12028000   2.66760000 -29.75990000
  8.17028000   2.71760000 -32.32910000
  8.22028000   2.76760000 -35.02720000
  8.27028000   2.81760000 -38.54180000
  8.32028000   2.86760000 -40.96050000
  8.37028000   2.91760000 -44.35870000
  8.42028000   2.96760000 -45.96620000
  8.47028000   3.01760000 -49.70380000
  8.52028000   3.06760000 -52.27450000
  8.57028000   3.11760000 -54.71200000
  8.62028000   3.16760000 -57.22510000
  8.67028000   3.21760000 -60.37920000
  8.72028000   3.26760000 -63.00930000
  8.77028000   3.31760000 -65.47690000
  8.82028000   3.36760000 -67.90360000
