#E_tot          E_tot-Eth    Phase(s)
  0.02028000   0.02028000 -36.48370000
  0.07028000   0.07028000  21.30510000
  0.12028000   0.12028000   1.47040000
  0.17028000   0.17028000  -8.63700000
  0.22028000   0.22028000  -1.71170000
  0.27028000   0.27028000 -80.64820000
  0.32028000   0.32028000 -82.87720000
  0.37028000   0.37028000 -89.31540000
  0.42028000   0.42028000  83.48770000
  0.47028000   0.47028000  76.50770000
  0.52028000   0.52028000  70.34640000
  0.57028000   0.57028000  66.37580000
  0.62028000   0.62028000  52.42670000
  0.67028000   0.67028000  54.62240000
  0.72028000   0.72028000  55.25660000
  0.77028000   0.77028000 -31.26890000
  0.82028000   0.82028000 -26.55640000
  0.87028000   0.87028000 -23.63490000
  0.92028000   0.92028000 -23.50790000
  0.97028000   0.97028000 -25.46210000
  1.02028000   1.02028000 -28.67660000
  1.07028000   1.07028000 -32.61040000
  1.12028000   1.12028000 -36.97480000
  1.17028000   1.17028000 -41.55610000
  1.22028000   1.22028000 -46.26190000
  1.27028000   1.27028000 -51.01280000
  1.32028000   1.32028000 -55.75560000
  1.37028000   1.37028000 -60.46460000
  1.42028000   1.42028000 -65.10760000
  1.47028000   1.47028000 -69.67990000
  1.52028000   1.52028000 -74.15260000
  1.57028000   1.57028000 -78.52200000
  1.62028000   1.62028000 -82.77210000
  1.67028000   1.67028000   2.97950000
  1.72028000   1.72028000  -0.90880000
  1.77028000   1.77028000  -4.74250000
  1.82028000   1.82028000  -8.41250000
  1.87028000   1.87028000 -11.90570000
  1.92028000   1.92028000 -15.20620000
  1.97028000   1.97028000 -18.28480000
  2.02028000   2.02028000 -21.11870000
  2.07028000   2.07028000 -23.67760000
  2.12028000   2.12028000 -25.93080000
  2.17028000   2.17028000 -27.82570000
  2.22028000   2.22028000 -29.31840000
  2.27028000   2.27028000 -30.35840000
  2.32028000   2.32028000 -30.88760000
  2.37028000   2.37028000 -30.83880000
  2.42028000   2.42028000 -30.11890000
  2.47028000   2.47028000 -28.53930000
  2.52028000   2.52028000 -25.59200000
  2.57028000   2.57028000 -19.64650000
  2.62028000   2.62028000  -5.12960000
  2.67028000   2.67028000 -68.98170000
  2.72028000   2.72028000 -54.33590000
  2.77028000   2.77028000 -49.00260000
  2.82028000   2.82028000 -47.02260000
  2.87028000   2.87028000 -46.53450000
  2.92028000   2.92028000 -46.87150000
  2.97028000   2.97028000 -47.73210000
  3.02028000   3.02028000 -48.95530000
  3.07028000   3.07028000 -50.44210000
  3.12028000   3.12028000 -52.12690000
  3.17028000   3.17028000 -53.96240000
  3.22028000   3.22028000 -55.91520000
