#E_tot          E_tot-Eth    Phase(s)
  8.10000000   6.92028000 -77.71270000
  8.15000000   6.97028000 -77.98320000
  8.20000000   7.02028000 -78.24770000
  8.25000000   7.07028000 -78.50680000
  8.30000000   7.12028000 -78.76070000
  8.35000000   7.17028000 -79.00980000
  8.40000000   7.22028000 -79.25430000
  8.45000000   7.27028000 -79.49450000
  8.50000000   7.32028000 -79.73070000
  8.55000000   7.37028000 -79.96310000
  8.60000000   7.42028000 -80.19180000
  8.65000000   7.47028000 -80.41720000
  8.70000000   7.52028000 -80.63930000
  8.75000000   7.57028000 -80.85830000
  8.80000000   7.62028000 -81.07440000
  8.85000000   7.67028000 -81.28770000
  8.90000000   7.72028000 -81.49840000
  8.95000000   7.77028000 -81.70660000
  9.00000000   7.82028000 -81.91230000
  9.05000000   7.87028000 -82.11580000
  9.10000000   7.92028000 -82.31700000
  9.15000000   7.97028000 -82.51620000
  9.20000000   8.02028000 -82.71330000
  9.25000000   8.07028000 -82.90850000
  9.30000000   8.12028000 -83.10180000
  9.35000000   8.17028000 -83.29340000
  9.40000000   8.22028000 -83.48320000
  9.45000000   8.27028000 -83.67140000
  9.50000000   8.32028000 -83.85800000
  9.55000000   8.37028000 -84.04300000
  9.60000000   8.42028000 -84.22650000
  9.65000000   8.47028000 -84.40860000
  9.70000000   8.52028000 -84.58940000
  9.75000000   8.57028000 -84.76870000
  9.80000000   8.62028000 -84.94680000
  9.85000000   8.67028000 -85.12360000
  9.90000000   8.72028000 -85.29920000
  9.95000000   8.77028000 -85.47360000
 10.00000000   8.82028000 -85.64680000
