# Energy/B2 CrossSection/a^2
1.194200000000000017e+01 6.737783880493081190e-02
1.196199999999999974e+01 6.132737424492435557e-02
1.198199999999999932e+01 6.457900533055541126e-02
1.200200000000000067e+01 6.140376230066817154e-02
1.202200000000000024e+01 6.131944655142435030e-02
1.204199999999999982e+01 6.264234147337986724e-02
1.206199999999999939e+01 6.325204476698130518e-02
1.208200000000000074e+01 6.316539824935830938e-02
1.210200000000000031e+01 6.304874550267523803e-02
1.212199999999999989e+01 6.328285192673380188e-02
1.214199999999999946e+01 6.390244145586693181e-02
1.216200000000000081e+01 6.478289876781817558e-02
1.218200000000000038e+01 6.578032770164622678e-02
1.220199999999999996e+01 6.679625572053243809e-02
1.222199999999999953e+01 6.779344502567774544e-02
1.224200000000000088e+01 6.877952615327118102e-02
1.226200000000000045e+01 6.978349680171549996e-02
1.228200000000000003e+01 7.083743387981299156e-02
1.230199999999999960e+01 7.196791970570455554e-02
1.232199999999999918e+01 7.319212505702303584e-02
1.234200000000000053e+01 7.451897746027547065e-02
1.236200000000000010e+01 7.595112995550826196e-02
1.238199999999999967e+01 7.748657527702718095e-02
1.240199999999999925e+01 7.912139732670188386e-02
1.242200000000000060e+01 8.085047241568160681e-02
1.244200000000000017e+01 8.266890328390769094e-02
1.246199999999999974e+01 8.457186740202195241e-02
1.248199999999999932e+01 8.655516943167207433e-02
1.250200000000000067e+01 8.861497737625041726e-02
1.252200000000000024e+01 9.074754585924910133e-02
1.254199999999999982e+01 9.294863162162390890e-02
1.256199999999999939e+01 9.521405550718908817e-02
1.258200000000000074e+01 9.753851059671003743e-02
1.260200000000000031e+01 9.991625833661951783e-02
1.262199999999999989e+01 1.023401935083060182e-01
1.264199999999999946e+01 1.048025516285344266e-01
1.266200000000000081e+01 1.072944187419162254e-01
1.268200000000000038e+01 1.098060045522286782e-01
1.270199999999999996e+01 1.123269401949393426e-01
1.272199999999999953e+01 1.148462779668855960e-01
1.274200000000000088e+01 1.173528219117979526e-01
1.276200000000000045e+01 1.198359763143128504e-01
1.278200000000000003e+01 1.222853147713522243e-01
1.280199999999999960e+01 1.246909605729144138e-01
1.282199999999999918e+01 1.270446618815553319e-01
1.284200000000000053e+01 1.293395513469006441e-01
1.286200000000000010e+01 1.315700540945585195e-01
1.288199999999999967e+01 1.337326468174295790e-01
1.290199999999999925e+01 1.358257677269831543e-01
1.292200000000000060e+01 1.378495337004967403e-01
1.294200000000000017e+01 1.398059646371860310e-01
1.296199999999999974e+01 1.416984963718506962e-01
1.298199999999999932e+01 1.435325402987739363e-01
1.300200000000000067e+01 1.453144398053997088e-01
1.302200000000000024e+01 1.470511108034129322e-01
1.304199999999999982e+01 1.487509415170634730e-01
1.306199999999999939e+01 1.504214378941654551e-01
1.308200000000000074e+01 1.520713821390469456e-01
1.310200000000000031e+01 1.537082713304405435e-01
1.312199999999999989e+01 1.553393848441487202e-01
1.314199999999999946e+01 1.569710281102016658e-01
1.316200000000000081e+01 1.586083182209789832e-01
1.318200000000000038e+01 1.602551536471968352e-01
1.320199999999999996e+01 1.619136204672349810e-01
1.322199999999999953e+01 1.635841401277680907e-01
1.324200000000000088e+01 1.652650527320496665e-01
1.326200000000000045e+01 1.669533342267410791e-01
1.328200000000000003e+01 1.686426531854499644e-01
1.330199999999999960e+01 1.703254172253107213e-01
1.332199999999999918e+01 1.719914001235554324e-01
1.334200000000000053e+01 1.736276960744608244e-01
1.336200000000000010e+01 1.752202372170057476e-01
1.338199999999999967e+01 1.767520351043636861e-01
1.340199999999999925e+01 1.782047252448584473e-01
1.342200000000000060e+01 1.795583883857169438e-01
1.344200000000000017e+01 1.807913819185932025e-01
1.346199999999999974e+01 1.818825550550577097e-01
1.348199999999999932e+01 1.828087594661392812e-01
1.350200000000000067e+01 1.835486859768158674e-01
1.352200000000000024e+01 1.840813919534363963e-01
1.354199999999999982e+01 1.843872027074912878e-01
1.356199999999999939e+01 1.844492129356948562e-01
1.358200000000000074e+01 1.842529958592605821e-01
1.360200000000000031e+01 1.837872869356897976e-01
1.362199999999999989e+01 1.830450354024160953e-01
1.364199999999999946e+01 1.820230357193271253e-01
1.366200000000000081e+01 1.807217256650809345e-01
1.368200000000000038e+01 1.791468988698113884e-01
1.370199999999999996e+01 1.773074561717147835e-01
1.372199999999999953e+01 1.752160690361585227e-01
1.374200000000000088e+01 1.728894007685361223e-01
1.376200000000000045e+01 1.703460081744126164e-01
1.378200000000000003e+01 1.676074960605729025e-01
1.380199999999999960e+01 1.646968028457480582e-01
1.382199999999999918e+01 1.616371089329941002e-01
1.384200000000000053e+01 1.584533465991870282e-01
1.386200000000000010e+01 1.551694724385721535e-01
1.388199999999999967e+01 1.518080462221207405e-01
1.390199999999999925e+01 1.483917807476009820e-01
1.392200000000000060e+01 1.449418682366288846e-01
1.394200000000000017e+01 1.414771196007875986e-01
1.396199999999999974e+01 1.380153799971801376e-01
1.398199999999999932e+01 1.345721825083303902e-01
1.400200000000000067e+01 1.311611632542572514e-01
1.402200000000000024e+01 1.277946201000900173e-01
1.404199999999999982e+01 1.244824375100577890e-01
1.406199999999999939e+01 1.212333179930795840e-01
1.408200000000000074e+01 1.180540562582843150e-01
1.410200000000000031e+01 1.149505680019480142e-01
1.412199999999999989e+01 1.119265719422575384e-01
1.414199999999999946e+01 1.089853694896866787e-01
1.416200000000000081e+01 1.061289827967259319e-01
1.418200000000000038e+01 1.033588170513036614e-01
1.420199999999999996e+01 1.006749842092373032e-01
1.422199999999999953e+01 9.807751844560623489e-02
1.424200000000000088e+01 9.556568577266867648e-02
1.426200000000000045e+01 9.313803660961955666e-02
1.428200000000000003e+01 9.079313272603561913e-02
1.430199999999999960e+01 8.852928158506162548e-02
1.432199999999999918e+01 8.634429171754627597e-02
1.434200000000000053e+01 8.423576825612641428e-02
1.436200000000000010e+01 8.220125743638348470e-02
1.438199999999999967e+01 8.023850703273745222e-02
1.440199999999999925e+01 7.834482989405783249e-02
1.442200000000000060e+01 7.651787611977002579e-02
1.444200000000000017e+01 7.475475920144110387e-02
1.446199999999999974e+01 7.305329850455583030e-02
1.448199999999999932e+01 7.141078605958531278e-02
1.450200000000000067e+01 6.982484512229550355e-02
1.452200000000000024e+01 6.829306312513762356e-02
1.454199999999999982e+01 6.681334100462776870e-02
1.456199999999999939e+01 6.538330762551898545e-02
1.458200000000000074e+01 6.400101203741083433e-02
1.460200000000000031e+01 6.266423352205960362e-02
