#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.18460000   4.71143405
  0.03500000   0.03500000  -7.80210000   4.71627951
  0.06000000   0.06000000 -10.18100000   4.72112683
  0.08500000   0.08500000 -12.07740000   4.72595744
  0.11000000   0.11000000 -13.69370000   4.73076760
  0.13500000   0.13500000 -15.12050000   4.73559413
  0.16000000   0.16000000 -16.40760000   4.74040202
  0.18500000   0.18500000 -17.58600000   4.74518580
  0.21000000   0.21000000 -18.67670000   4.74998070
  0.23500000   0.23500000 -19.69440000   4.75474087
  0.26000000   0.26000000 -20.65030000   4.75950995
  0.28500000   0.28500000 -21.55270000   4.76424434
  0.31000000   0.31000000 -22.40850000   4.76899964
  0.33500000   0.33500000 -23.22290000   4.77373344
  0.36000000   0.36000000 -24.00030000   4.77844564
  0.38500000   0.38500000 -24.74450000   4.78316643
  0.41000000   0.41000000 -25.45850000   4.78787499
  0.43500000   0.43500000 -26.14490000   4.79256367
  0.46000000   0.46000000 -26.80600000   4.79723888
  0.48500000   0.48500000 -27.44380000   4.80190608
  0.51000000   0.51000000 -28.06010000   4.80657948
  0.53500000   0.53500000 -28.65620000   4.81121354
  0.56000000   0.56000000 -29.23370000   4.81585789
  0.58500000   0.58500000 -29.79370000   4.82049071
  0.61000000   0.61000000 -30.33730000   4.82511509
  0.63500000   0.63500000 -30.86550000   4.82973533
  0.66000000   0.66000000 -31.37910000   4.83433515
  0.68500000   0.68500000 -31.87890000   4.83891399
  0.71000000   0.71000000 -32.36580000   4.84350313
  0.73500000   0.73500000 -32.84030000   4.84807022
  0.76000000   0.76000000 -33.30310000   4.85263085
  0.78500000   0.78500000 -33.75480000   4.85719076
  0.81000000   0.81000000 -34.19580000   4.86172705
  0.83500000   0.83500000 -34.62670000   4.86626066
  0.86000000   0.86000000 -35.04790000   4.87078229
  0.88500000   0.88500000 -35.45980000   4.87528847
  0.91000000   0.91000000 -35.86290000   4.87979883
  0.93500000   0.93500000 -36.25740000   4.88428372
  0.96000000   0.96000000 -36.64380000   4.88877151
  0.98500000   0.98500000 -37.02230000   4.89324073
  1.01000000   1.01000000 -37.39330000   4.89770907
  1.03500000   1.03500000 -37.75700000   4.90216184
  1.06000000   1.06000000 -38.11370000   4.90660504
  1.08500000   1.08500000 -38.46370000   4.91104727
  1.11000000   1.11000000 -38.80710000   4.91546439
  1.13500000   1.13500000 -39.14420000   4.91986977
  1.16000000   1.16000000 -39.47530000   4.92427878
  1.18500000   1.18500000 -39.80050000   4.92867365
  1.21000000   1.21000000 -40.12000000   4.93305597
  1.23500000   1.23500000 -40.43400000   4.93742901
  1.26000000   1.26000000 -40.74270000   4.94179754
  1.28500000   1.28500000 -41.04620000   4.94615037
  1.31000000   1.31000000 -41.34470000   4.95049510
  1.33500000   1.33500000 -41.63840000   4.95484057
  1.36000000   1.36000000 -41.92730000   4.95916197
  1.38500000   1.38500000 -42.21160000   4.96347045
  1.41000000   1.41000000 -42.49150000   4.96777819
  1.43500000   1.43500000 -42.76710000   4.97208093
  1.46000000   1.46000000 -43.03840000   4.97635792
  1.48500000   1.48500000 -43.30570000   4.98064154
  1.51000000   1.51000000 -43.56900000   4.98491271
  1.53500000   1.53500000 -43.82840000   4.98917056
  1.56000000   1.56000000 -44.08400000   4.99341495
  1.58500000   1.58500000 -44.33590000   4.99764641
  1.61000000   1.61000000 -44.58430000   5.00188360
  1.63500000   1.63500000 -44.82910000   5.00609342
  1.66000000   1.66000000 -45.07050000   5.01029574
  1.68500000   1.68500000 -45.30870000   5.01451104
  1.71000000   1.71000000 -45.54350000   5.01869033
  1.73500000   1.73500000 -45.77520000   5.02287263
  1.76000000   1.76000000 -46.00380000   5.02704494
  1.78500000   1.78500000 -46.22940000   5.03121222
  1.81000000   1.81000000 -46.45200000   5.03536230
  1.83500000   1.83500000 -46.67170000   5.03950100
  1.86000000   1.86000000 -46.88860000   5.04363455
  1.88500000   1.88500000 -47.10270000   5.04775194
  1.91000000   1.91000000 -47.31410000   5.05186015
  1.93500000   1.93500000 -47.52290000   5.05596656
  1.96000000   1.96000000 -47.72910000   5.06006115
  1.98500000   1.98500000 -47.93280000   5.06415196
  2.01000000   2.01000000 -48.13390000   5.06821180
  2.03500000   2.03500000 -48.33270000   5.07228488
  2.06000000   2.06000000 -48.52910000   5.07634456
  2.08500000   2.08500000 -48.72310000   5.08038219
  2.11000000   2.11000000 -48.91490000   5.08442516
  2.13500000   2.13500000 -49.10440000   5.08844743
  2.16000000   2.16000000 -49.29170000   5.09245902
  2.18500000   2.18500000 -49.47690000   5.09647020
  2.21000000   2.21000000 -49.66000000   5.10047352
  2.23500000   2.23500000 -49.84100000   5.10446171
  2.26000000   2.26000000 -50.02000000   5.10844573
  2.28500000   2.28500000 -50.19700000   5.11241869
  2.31000000   2.31000000 -50.37200000   5.11637383
  2.33500000   2.33500000 -50.54510000   5.12032276
  2.36000000   2.36000000 -50.71630000   5.12425910
  2.38500000   2.38500000 -50.88570000   5.12819486
  2.41000000   2.41000000 -51.05330000   5.13212400
  2.43500000   2.43500000 -51.21910000   5.13604061
  2.46000000   2.46000000 -51.38310000   5.13993888
  2.48500000   2.48500000 -51.54540000   5.14383151
  2.51000000   2.51000000 -51.70600000   5.14771302
