#    E_match       a_np3s       a_np1s         a_dd       a_dqdq         a_tp        a_hen
      0.0100       4.6976       4.7114       3.0373       3.7765       5.5518       3.6203
      0.0350       4.7026       4.7163       3.0423       3.7900       5.5654       3.6298
      0.0600       4.7076       4.7211       3.0385       3.8041       5.5789       3.6374
      0.0850       4.7126       4.7260       3.0418       3.8186       5.5926       3.6455
      0.1100       4.7176       4.7308       3.0466       3.8332       5.6062       3.6538
      0.1350       4.7225       4.7356       3.0521       3.8482       5.6199       3.6622
      0.1600       4.7275       4.7404       3.0580       3.8633       5.6337       3.6705
      0.1850       4.7324       4.7452       3.0641       3.8787       5.6475       3.6788
      0.2100       4.7373       4.7500       3.0705       3.8943       5.6614       3.6871
      0.2350       4.7422       4.7547       3.0770       3.9100       5.6753       3.6955
      0.2600       4.7470       4.7595       3.0836       3.9260       5.6893       3.7039
      0.2850       4.7519       4.7642       3.0904       3.9421       5.7034       3.7125
      0.3100       4.7567       4.7690       3.0972       3.9585       5.7175       3.7212
      0.3350       4.7615       4.7737       3.1042       3.9750       5.7317       3.7300
      0.3600       4.7663       4.7784       3.1113       3.9917       5.7459       3.7389
      0.3850       4.7710       4.7832       3.1184       4.0086       5.7602       3.7479
      0.4100       4.7758       4.7879       3.1257       4.0257       5.7746       3.7568
      0.4350       4.7805       4.7926       3.1330       4.0430       5.7890       3.7659
      0.4600       4.7853       4.7972       3.1404       4.0604       5.8035       3.7750
      0.4850       4.7900       4.8019       3.1479       4.0781       5.8180       3.7841
      0.5100       4.7947       4.8066       3.1555       4.0960       5.8326       3.7933
      0.5350       4.7993       4.8112       3.1631       4.1140       5.8473       3.8025
      0.5600       4.8040       4.8159       3.1708       4.1323       5.8620       3.8118
      0.5850       4.8086       4.8205       3.1786       4.1508       5.8768       3.8211
      0.6100       4.8133       4.8251       3.1864       4.1694       5.8916       3.8305
      0.6350       4.8179       4.8297       3.1943       4.1883       5.9065       3.8400
      0.6600       4.8225       4.8343       3.2023       4.2074       5.9215       3.8495
      0.6850       4.8271       4.8389       3.2103       4.2266       5.9365       3.8591
      0.7100       4.8316       4.8435       3.2184       4.2461       5.9517       3.8687
      0.7350       4.8362       4.8481       3.2265       4.2658       5.9668       3.8784
      0.7600       4.8407       4.8526       3.2347       4.2857       5.9821       3.8881
      0.7850       4.8453       4.8572       3.2430       4.3058       5.9974       3.8979
      0.8100       4.8498       4.8617       3.2513       4.3262       6.0127       3.9078
      0.8350       4.8543       4.8663       3.2597       4.3467       6.0281       3.9177
      0.8600       4.8587       4.8708       3.2681       4.3675       6.0436       3.9277
      0.8850       4.8632       4.8753       3.2766       4.3885       6.0592       3.9377
      0.9100       4.8677       4.8798       3.2851       4.4097       6.0748       3.9478
      0.9350       4.8721       4.8843       3.2937       4.4312       6.0905       3.9579
      0.9600       4.8765       4.8888       3.3024       4.4529       6.1062       3.9680
      0.9850       4.8810       4.8932       3.3111       4.4748       6.1221       3.9782
      1.0100       4.8854       4.8977       3.3199       4.4969       6.1379       3.9884
      1.0350       4.8897       4.9022       3.3287       4.5193       6.1539       3.9987
      1.0600       4.8941       4.9066       3.3375       4.5420       6.1699       4.0090
