#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.17240000   4.69764934
  0.03500000   0.03500000  -7.77980000   4.70263206
  0.06000000   0.06000000 -10.15250000   4.70762968
  0.08500000   0.08500000 -12.04430000   4.71261509
  0.11000000   0.11000000 -13.65700000   4.71759489
  0.13500000   0.13500000 -15.08070000   4.72253348
  0.16000000   0.16000000 -16.36530000   4.72748910
  0.18500000   0.18500000 -17.54150000   4.73239298
  0.21000000   0.21000000 -18.63020000   4.73727677
  0.23500000   0.23500000 -19.64630000   4.74216428
  0.26000000   0.26000000 -20.60060000   4.74700350
  0.28500000   0.28500000 -21.50180000   4.75186127
  0.31000000   0.31000000 -22.35630000   4.75667572
  0.33500000   0.33500000 -23.16960000   4.76148311
  0.36000000   0.36000000 -23.94600000   4.76626323
  0.38500000   0.38500000 -24.68930000   4.77104944
  0.41000000   0.41000000 -25.40240000   4.77580190
  0.43500000   0.43500000 -26.08800000   4.78053724
  0.46000000   0.46000000 -26.74840000   4.78526334
  0.48500000   0.48500000 -27.38550000   4.78996637
  0.51000000   0.51000000 -28.00110000   4.79466240
  0.53500000   0.53500000 -28.59660000   4.79932738
  0.56000000   0.56000000 -29.17350000   4.80399179
  0.58500000   0.58500000 -29.73290000   4.80863497
  0.61000000   0.61000000 -30.27590000   4.81326100
  0.63500000   0.63500000 -30.80350000   4.81787499
  0.66000000   0.66000000 -31.31660000   4.82248038
  0.68500000   0.68500000 -31.81590000   4.82705796
  0.71000000   0.71000000 -32.30220000   4.83162091
  0.73500000   0.73500000 -32.77630000   4.83619343
  0.76000000   0.76000000 -33.23850000   4.84071709
  0.78500000   0.78500000 -33.68970000   4.84525367
  0.81000000   0.81000000 -34.13020000   4.84976210
  0.83500000   0.83500000 -34.56060000   4.85426362
  0.86000000   0.86000000 -34.98130000   4.85874920
  0.88500000   0.88500000 -35.39270000   4.86321565
  0.91000000   0.91000000 -35.79520000   4.86766489
  0.93500000   0.93500000 -36.18920000   4.87210339
  0.96000000   0.96000000 -36.57510000   4.87654169
  0.98500000   0.98500000 -36.95310000   4.88095853
  1.01000000   1.01000000 -37.32350000   4.88535402
  1.03500000   1.03500000 -37.68660000   4.88973142
  1.06000000   1.06000000 -38.04280000   4.89411444
  1.08500000   1.08500000 -38.39220000   4.89847653
  1.11000000   1.11000000 -38.73510000   4.90282886
  1.13500000   1.13500000 -39.07160000   4.90714978
  1.16000000   1.16000000 -39.40210000   4.91147227
  1.18500000   1.18500000 -39.72670000   4.91577866
  1.21000000   1.21000000 -40.04560000   4.92007063
  1.23500000   1.23500000 -40.35900000   4.92435149
  1.26000000   1.26000000 -40.66710000   4.92862607
  1.28500000   1.28500000 -40.97000000   4.93288325
  1.31000000   1.31000000 -41.26790000   4.93713067
  1.33500000   1.33500000 -41.56090000   4.94135982
  1.36000000   1.36000000 -41.84920000   4.94558076
  1.38500000   1.38500000 -42.13280000   4.94976989
  1.41000000   1.41000000 -42.41210000   4.95397414
  1.43500000   1.43500000 -42.68700000   4.95815457
  1.46000000   1.46000000 -42.95760000   4.96230787
  1.48500000   1.48500000 -43.22420000   4.96646636
  1.51000000   1.51000000 -43.48680000   4.97061104
  1.53500000   1.53500000 -43.74550000   4.97474107
  1.56000000   1.56000000 -44.00040000   4.97885633
  1.58500000   1.58500000 -44.25160000   4.98295736
  1.61000000   1.61000000 -44.49920000   4.98704540
  1.63500000   1.63500000 -44.74330000   4.99112225
  1.66000000   1.66000000 -44.98400000   4.99519035
  1.68500000   1.68500000 -45.22140000   4.99925269
  1.71000000   1.71000000 -45.45550000   5.00329533
  1.73500000   1.73500000 -45.68640000   5.00732226
  1.76000000   1.76000000 -45.91420000   5.01133797
  1.78500000   1.78500000 -46.13900000   5.01534744
  1.81000000   1.81000000 -46.36080000   5.01933853
  1.83500000   1.83500000 -46.57970000   5.02331706
  1.86000000   1.86000000 -46.79580000   5.02728925
  1.88500000   1.88500000 -47.00910000   5.03124413
  1.91000000   1.91000000 -47.21970000   5.03518867
  1.93500000   1.93500000 -47.42770000   5.03913021
  1.96000000   1.96000000 -47.63300000   5.04304113
  1.98500000   1.98500000 -47.83580000   5.04694707
  2.01000000   2.01000000 -48.03620000   5.05085637
  2.03500000   2.03500000 -48.23410000   5.05474224
  2.06000000   2.06000000 -48.42960000   5.05861356
  2.08500000   2.08500000 -48.62270000   5.06246171
  2.11000000   2.11000000 -48.81360000   5.06631396
  2.13500000   2.13500000 -49.00230000   5.07016227
  2.16000000   2.16000000 -49.18870000   5.07398089
  2.18500000   2.18500000 -49.37300000   5.07779792
  2.21000000   2.21000000 -49.55510000   5.08158797
  2.23500000   2.23500000 -49.73520000   5.08537968
  2.26000000   2.26000000 -49.91330000   5.08916605
  2.28500000   2.28500000 -50.08940000   5.09294023
  2.31000000   2.31000000 -50.26350000   5.09669549
  2.33500000   2.33500000 -50.43560000   5.10042525
  2.36000000   2.36000000 -50.60590000   5.10415938
  2.38500000   2.38500000 -50.77430000   5.10787357
  2.41000000   2.41000000 -50.94100000   5.11159816
  2.43500000   2.43500000 -51.10580000   5.11529083
  2.46000000   2.46000000 -51.26890000   5.11898230
  2.48500000   2.48500000 -51.43020000   5.12264865
  2.51000000   2.51000000 -51.58980000   5.12630269
  2.53500000   2.53500000 -51.74780000   5.12995745
  2.56000000   2.56000000 -51.90420000   5.13360776
  2.58500000   2.58500000 -52.05890000   5.13723005
  2.61000000   2.61000000 -52.21200000   5.14083774
  2.63500000   2.63500000 -52.36360000   5.14444447
  2.66000000   2.66000000 -52.51370000   5.14804554
  2.68500000   2.68500000 -52.66220000   5.15161764
  2.71000000   2.71000000 -52.80930000   5.15519345
  2.73500000   2.73500000 -52.95490000   5.15874988
  2.76000000   2.76000000 -53.09910000   5.16230126
  2.78500000   2.78500000 -53.24190000   5.16584332
  2.81000000   2.81000000 -53.38330000   5.16937190
  2.83500000   2.83500000 -53.52330000   5.17288285
  2.86000000   2.86000000 -53.66200000   5.17639106
  2.88500000   2.88500000 -53.79930000   5.17987365
  2.91000000   2.91000000 -53.93540000   5.18336470
  2.93500000   2.93500000 -54.07020000   5.18684149
  2.96000000   2.96000000 -54.20370000   5.19030030
  2.98500000   2.98500000 -54.33590000   5.19373745
  3.01000000   3.01000000 -54.46690000   5.19716848
  3.03500000   3.03500000 -54.59680000   5.20060916
  3.06000000   3.06000000 -54.72540000   5.20401767
  3.08500000   3.08500000 -54.85290000   5.20742912
  3.11000000   3.11000000 -54.97920000   5.21082096
  3.13500000   3.13500000 -55.10430000   5.21418989
  3.16000000   3.16000000 -55.22840000   5.21757155
  3.18500000   3.18500000 -55.35130000   5.22092401
  3.21000000   3.21000000 -55.47320000   5.22428315
  3.23500000   3.23500000 -55.59400000   5.22762650
  3.26000000   3.26000000 -55.71370000   5.23095110
  3.28500000   3.28500000 -55.83240000   5.23427366
  3.31000000   3.31000000 -55.95000000   5.23757169
  3.33500000   3.33500000 -56.06660000   5.24086205
  3.36000000   3.36000000 -56.18230000   5.24416183
  3.38500000   3.38500000 -56.29690000   5.24742877
  3.41000000   3.41000000 -56.41060000   5.25069987
  3.43500000   3.43500000 -56.52330000   5.25395268
  3.46000000   3.46000000 -56.63500000   5.25718461
  3.48500000   3.48500000 -56.74580000   5.26041307
  3.51000000   3.51000000 -56.85570000   5.26363567
  3.53500000   3.53500000 -56.96470000   5.26685000
  3.56000000   3.56000000 -57.07280000   5.27005368
  3.58500000   3.58500000 -57.18000000   5.27324437
  3.61000000   3.61000000 -57.28630000   5.27641974
  3.63500000   3.63500000 -57.39180000   5.27959778
  3.66000000   3.66000000 -57.49640000   5.28275601
  3.68500000   3.68500000 -57.60020000   5.28591254
  3.71000000   3.71000000 -57.70310000   5.28904485
  3.73500000   3.73500000 -57.80520000   5.29217117
  3.76000000   3.76000000 -57.90650000   5.29528946
  3.78500000   3.78500000 -58.00700000   5.29839767
  3.81000000   3.81000000 -58.10680000   5.30151438
  3.83500000   3.83500000 -58.20570000   5.30459638
  3.86000000   3.86000000 -58.30390000   5.30768298
  3.88500000   3.88500000 -58.40130000   5.31075157
  3.91000000   3.91000000 -58.49790000   5.31380019
  3.93500000   3.93500000 -58.59380000   5.31684774
  3.96000000   3.96000000 -58.68900000   5.31989246
