#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.00795000   2.22010000  -5.88170000   5.26089482
  0.01795000   2.23010000  -8.81880000   5.27274674
  0.02795000   2.24010000 -10.98180000   5.28515711
  0.03795000   2.25010000 -12.76490000   5.29532189
  0.04795000   2.26010000 -14.32250000   5.30903723
  0.05795000   2.27010000 -15.72370000   5.32521704
  0.06795000   2.28010000 -16.99170000   5.33768422
  0.07795000   2.29010000 -18.16140000   5.34993249
  0.08795000   2.30010000 -19.26520000   5.36635543
  0.09795000   2.31010000 -20.30380000   5.38291420
  0.10795000   2.32010000 -21.26340000   5.39308323
  0.11795000   2.33010000 -22.14990000   5.39705353
  0.12795000   2.34010000 -22.99400000   5.40180582
  0.13795000   2.35010000 -23.82890000   5.41447242
  0.14795000   2.36010000 -24.66590000   5.43631079
  0.15795000   2.37010000 -25.48960000   5.46219285
  0.16795000   2.38010000 -26.27210000   5.48454774
  0.17795000   2.39010000 -26.99260000   5.49809009
  0.18795000   2.40010000 -27.64950000   5.50238362
  0.19795000   2.41010000 -28.26110000   5.50161463
  0.20795000   2.42010000 -28.85620000   5.50213863
  0.21795000   2.43010000 -29.46120000   5.50948196
  0.22795000   2.44010000 -30.09080000   5.52638605
  0.23795000   2.45010000 -30.74420000   5.55216117
  0.24795000   2.46010000 -31.40630000   5.58309918
  0.25795000   2.47010000 -32.05420000   5.61395413
  0.26795000   2.48010000 -32.66380000   5.63936669
  0.27795000   2.49010000 -33.21710000   5.65541243
  0.28795000   2.50010000 -33.70660000   5.66050691
  0.29795000   2.51010000 -34.13610000   5.65551996
  0.30795000   2.52010000 -34.51960000   5.64346818
  0.31795000   2.53010000 -34.87710000   5.62855291
  0.32795000   2.54010000 -35.23000000   5.61515500
  0.33795000   2.55010000 -35.59820000   5.60723765
  0.34795000   2.56010000 -35.99680000   5.60770626
  0.35795000   2.57010000 -36.43530000   5.61830523
  0.36795000   2.58010000 -36.91630000   5.63940246
  0.37795000   2.59010000 -37.43600000   5.67011925
