# l [fm^-1]     -0.1*V3//       V2+V3//           T+V2+V3//
4               <  -416//      < -505//-1080        -8.5//-250
6               < -1854//     < -1085//-2179        -8.5//-487
8               < -7005//     < -1880//-3580        -8.5//-815
