# Energy/B2 CrossSection/a^2
2.000000000000000042e-02 2.088611931982658348e-03
3.400000000000000244e-02 1.123863592585965876e-03
4.800000000000000100e-02 7.760963397145617020e-04
6.199999999999999956e-02 6.431070881898263937e-04
7.599999999999999811e-02 5.212347853342578878e-04
8.999999999999999667e-02 4.258002711667923583e-04
1.039999999999999952e-01 3.592782923520145433e-04
1.179999999999999938e-01 3.143078010443963941e-04
1.320000000000000062e-01 2.851683217453221484e-04
1.459999999999999909e-01 2.632293683090270180e-04
1.600000000000000033e-01 2.418056129527887247e-04
1.739999999999999880e-01 2.209856104553149455e-04
1.880000000000000004e-01 2.022988672420798057e-04
2.020000000000000129e-01 1.862252080591902514e-04
2.159999999999999976e-01 1.726544748215444187e-04
2.300000000000000100e-01 1.613361244466860714e-04
2.439999999999999947e-01 1.519931071942853828e-04
2.580000000000000071e-01 1.442722124834026486e-04
2.720000000000000195e-01 1.376969746773474895e-04
2.859999999999999765e-01 1.317575170411950747e-04
2.999999999999999889e-01 1.261009502598575661e-04
3.140000000000000013e-01 1.206088918327428901e-04
3.280000000000000138e-01 1.153143138135299993e-04
3.420000000000000262e-01 1.102894426327535708e-04
3.559999999999999831e-01 1.055859341619482081e-04
3.699999999999999956e-01 1.012258840871311204e-04
3.840000000000000080e-01 9.720996115917199807e-05
3.980000000000000204e-01 9.352524645003389321e-05
4.119999999999999774e-01 9.015362984130884387e-05
4.259999999999999898e-01 8.707327565194186269e-05
4.400000000000000022e-01 8.425995280079078779e-05
4.540000000000000147e-01 8.168629196345203501e-05
4.680000000000000271e-01 7.932145992220682716e-05
4.819999999999999840e-01 7.713177954612478572e-05
4.959999999999999964e-01 7.508317170153555717e-05
5.100000000000000089e-01 7.314451835285277711e-05
5.240000000000000213e-01 7.129137433470648065e-05
5.380000000000000338e-01 6.950664485369588115e-05
5.520000000000000462e-01 6.778116939533359632e-05
5.659999999999999476e-01 6.611144704630293463e-05
5.799999999999999600e-01 6.449728849172965347e-05
5.939999999999999725e-01 6.294016552640140018e-05
6.079999999999999849e-01 6.144154088803367253e-05
6.219999999999999973e-01 6.000238387933336302e-05
6.360000000000000098e-01 5.862298729580352457e-05
6.500000000000000222e-01 5.730258214529903563e-05
6.640000000000000346e-01 5.604012268547137963e-05
6.780000000000000471e-01 5.483387793153576015e-05
6.919999999999999485e-01 5.368193227685581488e-05
7.059999999999999609e-01 5.258199493798032081e-05
7.199999999999999734e-01 5.153185003925696533e-05
7.339999999999999858e-01 5.052894599523603174e-05
7.479999999999999982e-01 4.957072519932008447e-05
7.620000000000000107e-01 4.865472214697230560e-05
7.760000000000000231e-01 4.777817296885309643e-05
7.900000000000000355e-01 4.693841715215631377e-05
8.040000000000000480e-01 4.613261144877882759e-05
8.179999999999999494e-01 4.535810761401591254e-05
8.319999999999999618e-01 4.461225724412250731e-05
8.459999999999999742e-01 4.389232357081066774e-05
8.599999999999999867e-01 4.319600597606379846e-05
8.739999999999999991e-01 4.252123534836150804e-05
8.880000000000000115e-01 4.186607233239780448e-05
9.020000000000000240e-01 4.122902671547846342e-05
9.160000000000000364e-01 4.060878027162338321e-05
9.300000000000000488e-01 4.000441362677096884e-05
9.439999999999999503e-01 3.941514085806958754e-05
9.579999999999999627e-01 3.884045488369795022e-05
9.719999999999999751e-01 3.827987812203599306e-05
9.859999999999999876e-01 3.773311101526722309e-05
1.000000000000000000e+00 3.719994519624795815e-05
1.014000000000000012e+00 3.668003735827429182e-05
1.028000000000000025e+00 3.617320739299132424e-05
1.042000000000000037e+00 3.567921352904470804e-05
1.056000000000000050e+00 3.519782672325103684e-05
1.070000000000000062e+00 3.472869104749356470e-05
1.084000000000000075e+00 3.427167431918517722e-05
1.098000000000000087e+00 3.382644815561665239e-05
1.112000000000000099e+00 3.339263391380809816e-05
1.125999999999999890e+00 3.296993764784244874e-05
1.139999999999999902e+00 3.255814487532191263e-05
1.153999999999999915e+00 3.215679431480576516e-05
1.167999999999999927e+00 3.176563735860322361e-05
1.181999999999999940e+00 3.138437439519193526e-05
1.195999999999999952e+00 3.101259581653863104e-05
1.209999999999999964e+00 3.065009487527370683e-05
1.223999999999999977e+00 3.029649251503934088e-05
1.237999999999999989e+00 2.995142685701216126e-05
1.252000000000000002e+00 2.961472991434432680e-05
1.266000000000000014e+00 2.928594828168206180e-05
1.280000000000000027e+00 2.896493806592307510e-05
1.294000000000000039e+00 2.865127509848367667e-05
1.308000000000000052e+00 2.834478014172907845e-05
1.322000000000000064e+00 2.804511329290235240e-05
1.336000000000000076e+00 2.775205990490704528e-05
1.350000000000000089e+00 2.746535931251346742e-05
1.364000000000000101e+00 2.718470718719777444e-05
1.377999999999999892e+00 2.690986537471252117e-05
1.391999999999999904e+00 2.664071184651604099e-05
1.405999999999999917e+00 2.637691845837806349e-05
1.419999999999999929e+00 2.611837889806663862e-05
1.433999999999999941e+00 2.586478413607827870e-05
