# Energy/B2 CrossSection/a^2
4.177999999999999936e+00 1.800571878187546713e-03
4.192000000000000171e+00 3.871370956784744594e-03
4.206000000000000405e+00 5.135501353214267511e-03
4.219999999999999751e+00 6.119761237159597120e-03
4.233999999999999986e+00 6.946101899883851995e-03
4.248000000000000220e+00 7.666853094623903714e-03
4.261999999999999567e+00 8.310243694740294951e-03
4.275999999999999801e+00 8.893634585040803217e-03
4.290000000000000036e+00 9.428630317986914922e-03
4.304000000000000270e+00 9.923482034167546359e-03
4.317999999999999616e+00 1.038416515460077391e-02
4.331999999999999851e+00 1.081540662666978167e-02
4.346000000000000085e+00 1.122078180555049695e-02
4.360000000000000320e+00 1.160312803323991157e-02
4.373999999999999666e+00 1.196507700607105616e-02
4.387999999999999901e+00 1.230832619545700439e-02
4.402000000000000135e+00 1.263479569330328532e-02
4.416000000000000369e+00 1.294586423885585140e-02
4.429999999999999716e+00 1.324268024992311492e-02
4.443999999999999950e+00 1.352640963596001868e-02
4.458000000000000185e+00 1.379793579135380789e-02
4.472000000000000419e+00 1.405802471954731639e-02
4.485999999999999766e+00 1.430759830292369257e-02
4.500000000000000000e+00 1.454715183260735928e-02
4.514000000000000234e+00 1.477731612138085196e-02
4.527999999999999581e+00 1.499856348177486080e-02
4.541999999999999815e+00 1.521159204685035987e-02
4.556000000000000050e+00 1.541663634359995670e-02
4.570000000000000284e+00 1.561414748992971842e-02
4.583999999999999631e+00 1.580459678374318902e-02
4.597999999999999865e+00 1.598827348621807351e-02
4.612000000000000099e+00 1.616548030578249598e-02
4.626000000000000334e+00 1.633643132620757679e-02
4.639999999999999680e+00 1.650155317167286903e-02
4.653999999999999915e+00 1.666108095652094404e-02
4.668000000000000149e+00 1.681505402180787437e-02
4.682000000000000384e+00 1.696392595011707305e-02
4.695999999999999730e+00 1.710785202146682116e-02
4.709999999999999964e+00 1.724688997192461506e-02
4.724000000000000199e+00 1.738141062666778355e-02
4.738000000000000433e+00 1.751148139605407383e-02
4.751999999999999780e+00 1.763727642092844175e-02
4.766000000000000014e+00 1.775897369182897687e-02
4.780000000000000249e+00 1.787675473895103395e-02
4.793999999999999595e+00 1.799059616870367362e-02
4.807999999999999829e+00 1.810089323387180718e-02
4.822000000000000064e+00 1.820762764763144206e-02
4.836000000000000298e+00 1.831088698227429160e-02
4.849999999999999645e+00 1.841086531543882632e-02
4.863999999999999879e+00 1.850765410641177361e-02
4.878000000000000114e+00 1.860134633123129363e-02
4.892000000000000348e+00 1.869193134435596232e-02
4.905999999999999694e+00 1.877971478234014002e-02
4.919999999999999929e+00 1.886468859846564261e-02
4.934000000000000163e+00 1.894695076650441956e-02
4.948000000000000398e+00 1.902660026608824634e-02
4.961999999999999744e+00 1.910363156896371234e-02
4.975999999999999979e+00 1.917825071686432570e-02
4.990000000000000213e+00 1.925045368193206360e-02
5.003999999999999559e+00 1.932023693916777932e-02
5.017999999999999794e+00 1.938791429552381984e-02
5.032000000000000028e+00 1.945327219688658751e-02
